Latitude (decimal degrees): 39.470
Longitude (decimal degrees): -0.370
Elevation (m): 23.0
month,year
1,2006
2,2015
3,2020
4,2018
5,2005
6,2009
7,2011
8,2020
9,2011
10,2013
11,2008
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,11.12,78.98,0.0,-0.0,0.0,296.67,3.18,249.0,101253.0
20060101:0100,11.16,76.44,0.0,-0.0,0.0,293.32,3.47,254.0,101233.0
20060101:0200,11.19,73.91,0.0,-0.0,0.0,289.97,3.75,256.0,101253.0
20060101:0300,11.22,71.38,0.0,-0.0,0.0,286.62,4.03,259.0,101293.0
20060101:0400,11.25,68.84,0.0,-0.0,0.0,283.27,4.31,261.0,101253.0
20060101:0500,11.29,66.31,0.0,-0.0,0.0,279.92,4.59,261.0,101263.0
20060101:0600,11.32,63.77,0.0,-0.0,0.0,276.57,4.87,264.0,101273.0
20060101:0700,11.35,61.24,0.0,-0.0,0.0,273.22,5.15,260.0,101283.0
20060101:0800,10.74,64.05,83.0,364.08,39.0,263.95,4.83,270.0,101333.0
20060101:0900,11.79,59.65,245.0,738.57,49.0,261.65,4.76,279.0,101433.0
20060101:1000,13.07,54.25,366.0,800.25,66.0,265.5,4.48,280.0,101533.0
20060101:1100,14.17,46.5,442.0,825.96,77.0,264.55,4.69,288.0,101523.0
20060101:1200,15.12,39.95,457.0,790.24,92.0,269.15,4.34,299.0,101473.0
20060101:1300,15.77,35.4,433.0,835.15,71.0,268.4,3.86,307.0,101413.0
20060101:1400,15.99,33.2,346.0,786.5,64.0,268.2,3.52,310.0,101443.0
20060101:1500,15.72,34.65,217.0,705.79,46.0,266.65,3.03,307.0,101473.0
20060101:1600,14.76,37.55,61.0,399.71,24.0,265.3,2.62,299.0,101543.0
20060101:1700,13.03,41.4,0.0,-0.0,0.0,262.4,2.62,288.0,101583.0
20060101:1800,11.45,46.5,0.0,-0.0,0.0,259.15,2.9,281.0,101672.0
20060101:1900,11.4,47.4,0.0,-0.0,0.0,259.55,4.0,275.0,101722.0
20060101:2000,10.94,49.1,0.0,-0.0,0.0,258.2,4.0,271.0,101762.0
