Latitude (decimal degrees): 40.410
Longitude (decimal degrees): -3.700
Elevation (m): 642.0
month,year
1,2013
2,2010
3,2008
4,2007
5,2020
6,2008
7,2012
8,2007
9,2015
10,2012
11,2018
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,5.39,87.1,0.0,-0.0,0.0,318.12,2.48,222.0,94657.0
20130101:0100,4.91,89.48,0.0,-0.0,0.0,318.0,2.3,225.0,94583.0
20130101:0200,4.43,91.85,0.0,-0.0,0.0,317.88,2.11,230.0,94546.0
20130101:0300,3.96,94.23,0.0,-0.0,0.0,317.76,1.93,235.0,94509.0
20130101:0400,3.48,96.6,0.0,-0.0,0.0,317.64,1.74,239.0,94499.0
20130101:0500,3.0,98.98,0.0,-0.0,0.0,317.53,1.56,238.0,94490.0
20130101:0600,2.52,100.0,0.0,-0.0,0.0,317.41,1.37,238.0,94509.0
20130101:0700,2.04,100.0,0.0,-0.0,0.0,317.29,1.19,233.0,94537.0
20130101:0800,3.64,94.3,27.0,0.0,27.0,316.2,1.24,237.0,94555.0
20130101:0900,4.43,92.75,131.0,129.1,102.0,299.85,0.97,248.0,94629.0
20130101:1000,5.94,86.45,172.0,52.79,154.0,315.05,1.17,255.0,94713.0
20130101:1100,7.36,77.55,230.0,71.97,200.0,297.35,1.52,273.0,94713.0
20130101:1200,8.5,68.3,399.0,516.73,168.0,277.45,1.93,304.0,94675.0
20130101:1300,9.5,59.45,445.0,884.77,65.0,295.8,2.07,314.0,94601.0
20130101:1400,10.02,54.6,374.0,889.43,49.0,302.55,1.79,324.0,94546.0
20130101:1500,10.19,53.1,243.0,744.76,50.0,308.1,1.52,329.0,94592.0
20130101:1600,9.86,55.4,88.0,483.22,31.0,279.4,1.03,327.0,94592.0
20130101:1700,8.54,69.4,0.0,-0.0,0.0,290.4,0.97,287.0,94638.0
20130101:1800,6.98,73.9,0.0,-0.0,0.0,287.3,1.31,268.0,94685.0
20130101:1900,6.01,73.45,0.0,-0.0,0.0,295.2,1.59,247.0,94703.0
20130101:2000,4.68,79.3,0.0,-0.0,0.0,263.2,1.66,257.0,94750.0
20130101:2100,3.38,85.1,0.0,-0.0,0.0,253.35,1.59,265.0,94796.0
20130101:2200,2.53,88.4,0.0,-0.0,0.0,259.15,1.45,278.0,94888.0
20130101:2300,1.98,89.95,0.0,-0.0,0.0,259.35,1.31,286.0,94907.0
20130102:0000,1.86,90.7,0.0,-0.0,0.0,271.85,1.24,288.0,94963.0
20130102:0100,1.56,92.0,0.0,-0.0,0.0,269.6,1.24,292.0,94981.0
20130102:0200,1.55,92.75,0.0,-0.0,0.0,280.35,1.24,307.0,94972.0
20130102:0300,1.59,92.9,0.0,-0.0,0.0,280.35,1.38,331.0,94990.0
20130102:0400,1.88,92.2,0.0,-0.0,0.0,285.0,1.52,352.0,94990.0
20130102:0500,1.8,91.95,0.0,-0.0,0.0,266.3,1.72,356.0,95009.0
20130102:0600,1.7,92.2,0.0,-0.0,0.0,265.3,1.66,358.0,95064.0
20130102:0700,1.35,93.4,0.0,-0.0,0.0,270.35,1.52,3.0,95129.0
20130102:0800,0.95,94.3,27.0,0.0,27.0,258.2,1.52,3.0,95194.0
20130102:0900,2.07,93.6,191.0,542.63,69.0,253.55,1.1,1.0,95259.0
20130102:1000,5.47,80.1,337.0,796.38,65.0,257.6,0.97,1.0,95268.0
20130102:1100,7.58,66.9,443.0,962.24,41.0,260.3,2.28,5.0,95240.0
20130102:1200,8.84,57.6,483.0,999.27,35.0,275.35,3.59,11.0,95148.0
20130102:1300,9.36,54.8,408.0,649.47,128.0,280.95,3.45,10.0,95083.0
20130102:1400,9.57,54.0,360.0,764.99,79.0,298.1,3.24,9.0,95064.0
20130102:1500,9.69,53.4,236.0,654.44,65.0,310.45,3.17,7.0,95055.0
20130102:1600,9.13,57.1,83.0,365.92,39.0,307.35,2.34,2.0,95083.0
20130102:1700,8.0,61.65,0.0,-0.0,0.0,292.9,2.28,355.0,95129.0
20130102:1800,7.06,65.35,0.0,-0.0,0.0,292.3,2.34,352.0,95203.0
20130102:1900,6.73,68.2,0.0,-0.0,0.0,275.75,2.48,4.0,95268.0
20130102:2000,6.09,71.05,0.0,-0.0,0.0,272.05,2.48,5.0,95287.0
20130102:2100,5.57,73.5,0.0,-0.0,0.0,269.0,2.41,7.0,95352.0
20130102:2200,4.97,75.95,0.0,-0.0,0.0,256.45,2.34,9.0,95342.0
20130102:2300,4.62,76.95,0.0,-0.0,0.0,260.5,2.21,8.0,95361.0
20130103:0000,4.21,78.0,0.0,-0.0,0.0,258.2,2.07,11.0,95407.0
20130103:0100,3.4,82.6,0.0,-0.0,0.0,255.55,1.79,18.0,95463.0
20130103:0200,2.54,85.4,0.0,-0.0,0.0,256.85,1.66,28.0,95528.0
20130103:0300,1.85,86.6,0.0,-0.0,0.0,254.3,1.59,29.0,95574.0
20130103:0400,1.2,87.7,0.0,-0.0,0.0,249.9,1.52,24.0,95592.0
20130103:0500,0.64,88.6,0.0,-0.0,0.0,246.8,1.52,19.0,95713.0
20130103:0600,0.28,89.4,0.0,-0.0,0.0,252.0,1.59,18.0,95778.0
20130103:0700,0.23,88.0,0.0,-0.0,0.0,246.6,1.72,22.0,95842.0
20130103:0800,0.15,87.45,20.0,0.0,20.0,246.2,1.79,23.0,95917.0
20130103:0900,1.99,85.25,203.0,675.13,51.0,246.2,1.52,26.0,96000.0
20130103:1000,5.97,67.05,334.0,765.62,72.0,248.55,1.93,43.0,96074.0
20130103:1100,7.69,59.4,426.0,830.92,78.0,254.9,2.69,57.0,96046.0
20130103:1200,8.9,55.3,465.0,864.96,76.0,250.65,2.55,69.0,96037.0
20130103:1300,9.75,51.8,439.0,822.43,83.0,252.2,2.07,80.0,95954.0
20130103:1400,10.23,48.9,356.0,722.87,89.0,253.15,1.66,87.0,95944.0
20130103:1500,10.29,47.85,242.0,683.01,62.0,252.8,1.31,87.0,95963.0
20130103:1600,9.89,50.95,92.0,489.31,32.0,251.6,0.69,82.0,95991.0
20130103:1700,9.35,49.8,0.0,-0.0,0.0,249.5,0.41,43.0,96028.0
20130103:1800,8.47,53.0,0.0,-0.0,0.0,247.55,0.69,347.0,96074.0
20130103:1900,6.52,60.85,0.0,-0.0,0.0,246.6,1.1,318.0,96130.0
20130103:2000,4.31,71.05,0.0,-0.0,0.0,246.05,1.45,327.0,96167.0
20130103:2100,2.81,77.15,0.0,-0.0,0.0,245.65,1.59,341.0,96194.0
20130103:2200,1.59,82.15,0.0,-0.0,0.0,244.5,1.38,358.0,96269.0
20130103:2300,0.81,85.0,0.0,-0.0,0.0,243.15,1.31,12.0,96306.0
20130104:0000,0.31,86.05,0.0,-0.0,0.0,242.0,1.31,17.0,96296.0
20130104:0100,0.14,85.4,0.0,-0.0,0.0,240.85,1.31,21.0,96333.0
20130104:0200,-0.09,84.6,0.0,-0.0,0.0,240.05,1.45,26.0,96352.0
20130104:0300,-0.2,83.35,0.0,-0.0,0.0,239.3,1.45,30.0,96361.0
20130104:0400,-0.23,82.2,0.0,-0.0,0.0,238.1,1.38,33.0,96361.0
20130104:0500,-0.18,80.9,0.0,-0.0,0.0,237.55,1.38,36.0,96352.0
20130104:0600,-0.11,79.65,0.0,-0.0,0.0,236.6,1.31,37.0,96370.0
20130104:0700,-0.77,81.2,0.0,-0.0,0.0,233.3,1.31,29.0,96380.0
20130104:0800,-0.86,81.15,20.0,0.0,20.0,233.3,1.31,24.0,96370.0
20130104:0900,1.15,78.45,206.0,700.46,48.0,234.85,0.76,23.0,96389.0
