minute,global horizontal irradiance
0.02,1010.7
0.13,1019.0
0.29,1024.6
0.40,1032.9
0.40,1019.0
0.44,1002.3
0.48,988.4
0.54,960.6
0.55,998.5
0.53,1015.9
0.55,1039.1
0.64,1033.3
0.71,1044.9
0.76,1005.9
0.77,937.5
0.78,897.2
0.82,855.6
0.79,752.2
0.84,668.9
0.83,507.8
0.91,668.9
0.92,631.3
0.94,589.7
0.98,533.3
0.98,468.9
1.00,411.1
0.99,358.8
1.00,340.0
1.02,322.5
1.07,341.3
1.11,325.2
1.12,352.0
1.12,412.5
1.15,639.4
1.15,740.1
1.15,787.1
1.21,867.6
1.24,826.0
1.25,742.8
1.26,656.8
1.26,615.2
1.26,487.7
1.29,431.3
1.30,360.1
1.30,325.2
1.36,306.4
1.45,287.6
1.60,278.2
1.74,275.5
1.86,280.9
2.03,294.3
2.09,319.8
2.12,369.5
2.13,435.3
2.15,525.3
2.16,569.6
2.17,678.3
2.18,784.4
2.18,870.3
2.22,907.9
2.24,889.1
2.30,863.6
2.32,889.1
2.32,910.6
2.34,940.1
2.34,963.0
2.36,1004.6
2.39,980.4
2.41,929.4
2.42,895.8
2.43,865.0
2.45,848.8
2.52,869.0
2.51,902.6
2.51,956.3
2.52,1039.5
2.52,1075.8
2.60,1074.4
2.68,1083.8
2.77,1077.1
2.77,1035.5
2.78,1014.0
2.80,967.0
2.80,897.2
2.83,866.3
2.84,914.6
2.83,954.9
2.85,997.9
2.84,1038.2
2.86,1062.3
2.89,1015.3
2.94,993.9
2.94,965.7
2.95,934.8
2.96,905.2
2.96,862.3
2.98,818.0
3.00,879.7
3.01,918.7
3.01,958.9
3.03,985.8
3.03,1012.7
3.04,1044.9
3.06,1063.7
3.07,1075.8
3.11,1042.2
3.10,899.9
3.12,646.1
3.14,527.9
3.13,447.4
3.15,361.4
3.19,337.3
3.20,400.4
3.26,392.3
3.27,413.8
3.29,478.3
3.29,525.3
3.35,570.9
3.35,673.0
3.41,690.4
3.45,733.4
3.46,777.7
3.47,831.4
3.51,780.4
3.52,871.7
3.52,1040.9
3.52,1066.4
3.61,1057.0
3.71,1050.3
3.75,1043.5
3.88,1047.6
3.98,1040.9
4.08,1042.2
4.19,1036.8
4.31,1026.1
4.40,1036.8
4.51,1031.5
4.64,1026.1
4.78,1024.7
4.92,1024.7
5.03,1026.1
5.08,1010.0
5.10,987.1
5.12,946.9
5.13,779.0
5.16,713.2
5.17,626.0
5.22,706.5
5.25,617.9
5.23,436.6
5.27,391.0
5.30,460.8
5.36,409.8
5.39,466.2
5.37,628.6
5.40,741.4
5.39,885.1
5.41,960.3
5.44,972.4
5.49,797.8
5.52,757.5
5.54,628.6
5.57,788.4
5.57,890.5
5.59,957.6
5.61,1003.3
5.62,1015.3
5.79,1012.7
5.93,1016.7
6.09,1015.3
6.21,1020.7
6.31,1024.7
6.44,1028.8
6.54,1026.1
6.56,968.3
6.58,905.2
6.59,865.0
6.62,945.5
6.66,899.9
6.67,945.5
6.72,862.3
6.72,960.3
6.70,1005.9
6.73,1024.7
6.76,1035.5
6.83,1048.9
6.89,1052.9
6.98,1057.0
7.04,1066.4
7.12,1065.0
7.14,1043.5
7.14,1019.4
7.14,996.5
7.14,965.7
7.14,938.8
7.21,992.5
7.22,937.5
7.22,820.6
7.23,693.1
7.21,656.8
7.27,685.0
7.27,611.2
7.29,561.5
7.31,462.1
7.33,549.4
7.38,464.8
7.40,411.1
7.40,373.5
7.43,354.7
7.49,335.9
7.50,365.5
7.51,415.2
7.57,368.2
7.59,424.6
7.60,451.4
7.61,486.3
7.62,546.7
7.66,626.0
7.66,797.8
7.68,873.0
7.67,938.8
7.69,1005.9
7.73,1086.5
7.79,1051.6
7.80,1011.3
7.83,941.5
7.85,846.2
7.83,683.7
7.87,458.1
7.88,417.8
7.88,395.0
7.88,373.5
7.92,354.7
7.99,342.6
8.09,349.4
8.16,354.7
8.19,334.6
8.22,327.9
8.33,322.5
8.46,322.5
8.58,327.9
8.60,353.4
8.63,404.4
8.64,525.3
8.67,579.0
8.68,640.7
8.68,711.9
8.66,761.6
8.71,650.1
8.73,605.8
8.77,558.8
8.78,609.8
8.78,656.8
8.80,717.3
8.81,796.5
8.84,882.4
8.84,934.8
8.84,1030.1
8.86,1071.7
8.87,1093.2
8.93,1102.6
9.01,1104.0
9.00,1058.3
9.05,1019.4
9.06,977.7
9.10,999.2
9.11,862.3
9.10,659.5
9.11,486.3
9.11,440.7
9.15,388.3
9.16,365.5
9.20,352.0
9.26,340.0
9.42,323.9
9.56,315.8
9.71,306.4
9.82,303.7
9.93,299.7
10.05,299.7
10.18,299.7
10.27,305.1
10.31,318.5
10.34,337.3
10.38,365.5
10.38,385.6
10.40,407.1
10.40,431.3
10.45,378.9
10.46,353.4
10.48,335.9
10.49,317.1
10.49,305.1
10.57,302.4
10.67,317.1
10.67,348.0
10.67,362.8
10.70,384.3
10.72,412.5
10.76,373.5
10.78,345.3
10.81,323.9
10.90,340.0
10.92,354.7
10.93,365.5
10.97,380.2
11.00,415.2
10.98,451.4
10.98,487.7
10.99,527.9
11.02,565.5
11.05,804.5
11.05,886.4
11.07,913.3
11.12,958.9
11.19,910.6
11.21,871.7
11.25,903.9
11.22,950.9
11.27,961.6
11.32,973.7
11.36,945.5
11.39,987.1
11.44,1014.0
11.45,1030.1
11.51,999.2
11.53,984.5
11.59,984.5
11.64,1000.6
11.67,1011.3
11.74,1000.6
11.76,984.5
11.76,1024.7
11.79,1039.5
11.86,1031.5
11.87,1014.0
11.91,991.2
11.94,1018.0
