Latitude (decimal degrees):	37.779
Longitude (decimal degrees):	-122.420
Elevation (m):	19
Radiation database:	PVGIS-NSRDB


Slope: 36 deg. (optimum)
Azimuth: 11 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0000,346.39,418.19,9.19,12.51,2.48,0.0
20150101:0100,0.0,0.0,0.0,10.89,2.0,0.0
20150101:0200,0.0,0.0,0.0,9.99,1.45,0.0
20150101:0300,0.0,0.0,0.0,11.01,1.03,0.0
20150101:0400,0.0,0.0,0.0,10.72,1.1,0.0
20150101:0500,0.0,0.0,0.0,10.39,1.1,0.0
20150101:0600,0.0,0.0,0.0,10.06,1.1,0.0
20150101:0700,0.0,0.0,0.0,9.6,1.59,0.0
20150101:0800,0.0,0.0,0.0,7.32,2.0,0.0
20150101:0900,0.0,0.0,0.0,5.61,2.48,0.0
20150101:1000,0.0,0.0,0.0,5.01,2.9,0.0
20150101:1100,0.0,0.0,0.0,4.92,3.24,0.0
20150101:1200,0.0,0.0,0.0,4.87,3.59,0.0
20150101:1300,0.0,0.0,0.0,4.62,3.59,0.0
20150101:1400,0.0,0.0,0.0,4.4,3.66,0.0
20150101:1500,0.0,0.0,0.0,4.17,3.59,0.0
20150101:1600,123.93,169.14,5.03,4.14,3.52,0.0
20150101:1700,390.46,458.74,14.17,5.9,3.38,0.0
20150101:1800,588.12,689.83,21.64,7.92,3.79,0.0
20150101:1900,718.65,853.47,26.83,8.82,4.07,0.0
20150101:2000,784.24,941.03,29.13,9.68,4.28,0.0
20150101:2100,782.13,942.54,28.22,10.3,4.14,0.0
20150101:2200,716.86,860.04,24.22,10.68,3.93,0.0
20150101:2300,579.94,688.83,17.67,10.73,3.59,0.0
20150102:0000,356.78,425.45,9.32,10.4,2.83,0.0
20150102:0100,0.0,0.0,0.0,9.51,2.48,0.0
20150102:0200,0.0,0.0,0.0,7.96,2.21,0.0
20150102:0300,0.0,0.0,0.0,6.6,2.21,0.0
20150102:0400,0.0,0.0,0.0,5.7,2.34,0.0
20150102:0500,0.0,0.0,0.0,4.94,2.07,0.0
20150102:0600,0.0,0.0,0.0,5.37,1.72,0.0
20150102:0700,0.0,0.0,0.0,5.2,1.79,0.0
20150102:0800,0.0,0.0,0.0,4.35,1.93,0.0
20150102:0900,0.0,0.0,0.0,3.97,2.0,0.0
20150102:1000,0.0,0.0,0.0,3.55,2.0,0.0
20150102:1100,0.0,0.0,0.0,3.6,1.93,0.0
20150102:1200,0.0,0.0,0.0,3.93,1.72,0.0
