volume,cost,year
0.0083,25.5067,1980
0.0135,22.7377,1981
0.0213,25.1831,1982
0.0358,25.3444,1983
0.0526,23.4752,1984
0.0735,21.7439,1985
0.0930,15.4034,1986
0.1178,10.9816,1987
0.1506,10.7047,1988
0.1870,11.4835,1989
0.2299,10.1070,1990
0.2771,9.4819,1991
0.3341,8.2394,1992
0.3834,8.2394,1993
0.4443,7.7793,1994
0.5149,6.5476,1995
0.6086,5.4063,1996
0.7193,6.1426,1997
0.8502,5.1044,1998
1.0149,4.9126,1999
1.2600,4.6088,2000
1.6270,4.4073,2001
2.1010,4.2962,2002
2.7669,3.3280,2003
3.8275,3.2648,2004
5.2429,3.2858,2005
7.1817,3.5701,2006
10.2321,3.2648,2007
15.6169,2.7655,2008
23.3713,1.8735,2009
40.9355,1.6808,2010
72.4080,1.1242,2011
107.3013,0.6746,2012
146.9805,0.5570,2013
195.4804,0.4840,2014
259.9840,0.5395,2015
342.3888,0.4809,2016
437.8054,0.3702,2017
548.9108,0.3056,2018
668.2070,0.2460,2019
805.4708,0.1834,2020
