utc_time;DNK;BEL;DEU;GBR;SWE;NLD;BGR;HRV;CYP;EST;FIN;FRA;GRC;IRL;ITA;LVA;LTU;MLT;NOR;POL;PRT;ROU;ESP
2015-01-01T00:00:00Z;0.665831;0.817181;0.730894;0.563111;0.828772;0.718269;0.260049;0.409065;0.061919;0.235855;0.111910;0.518224;0.398803;0.907274;0.299761;0.329926;0.290431;0.686834;0.539995;0.448069;0.048148;0.232177;0.122508
2015-01-01T01:00:00Z;0.705975;0.862236;0.703339;0.533275;0.865851;0.742622;0.270319;0.450892;0.057287;0.261901;0.109562;0.505718;0.400450;0.882866;0.301217;0.321724;0.297258;0.715401;0.535162;0.428740;0.059384;0.233019;0.126073
2015-01-01T02:00:00Z;0.753818;0.857156;0.726039;0.504300;0.892169;0.770455;0.281723;0.510006;0.059408;0.286043;0.108902;0.485873;0.398193;0.881218;0.303380;0.303998;0.300247;0.737638;0.532019;0.413742;0.063338;0.229751;0.132994
2015-01-01T03:00:00Z;0.792508;0.845313;0.778338;0.505030;0.886018;0.777708;0.278259;0.502702;0.055458;0.283710;0.104890;0.474614;0.410116;0.936809;0.328630;0.276184;0.286292;0.774312;0.523022;0.412877;0.052995;0.222036;0.131736
2015-01-01T04:00:00Z;0.823321;0.830937;0.809809;0.525647;0.884443;0.785765;0.276517;0.504766;0.055744;0.285076;0.104810;0.471673;0.398784;0.972149;0.358648;0.253993;0.279903;0.784009;0.520535;0.413255;0.046550;0.213918;0.128039
2015-01-01T05:00:00Z;0.837116;0.833475;0.835748;0.571599;0.879867;0.796568;0.273331;0.504094;0.060494;0.289751;0.109475;0.477575;0.389585;0.984468;0.364053;0.231226;0.278721;0.772238;0.526960;0.420799;0.043398;0.206071;0.122654
2015-01-01T06:00:00Z;0.850282;0.895928;0.874315;0.596732;0.894994;0.685689;0.263742;0.550882;0.074044;0.289346;0.112694;0.532255;0.404747;0.968239;0.350326;0.230623;0.295524;0.776953;0.524571;0.446576;0.031195;0.208980;0.146114
2015-01-01T07:00:00Z;0.875912;0.910047;0.856330;0.650863;0.896532;0.767422;0.262558;0.555057;0.080970;0.307348;0.117509;0.544796;0.392550;0.984495;0.366225;0.207483;0.286614;0.760849;0.528523;0.447648;0.040447;0.201484;0.137112
2015-01-01T08:00:00Z;0.892135;0.912511;0.873760;0.683464;0.914873;0.822350;0.256996;0.493223;0.079884;0.323615;0.127359;0.560659;0.381649;0.966661;0.401698;0.195167;0.281638;0.758977;0.536896;0.443486;0.039946;0.194592;0.166996
2015-01-01T09:00:00Z;0.865662;0.906780;0.900884;0.708652;0.918300;0.837453;0.256097;0.479250;0.079028;0.344406;0.137341;0.568984;0.371915;0.999997;0.408903;0.192075;0.289727;0.815850;0.557185;0.448264;0.036236;0.182499;0.170721
2015-01-01T10:00:00Z;0.843308;0.897658;0.912209;0.721773;0.913362;0.845687;0.258593;0.461449;0.084683;0.368328;0.149530;0.571144;0.360845;0.999242;0.414660;0.189623;0.301297;0.841828;0.571443;0.454069;0.033843;0.167298;0.162534
2015-01-01T11:00:00Z;0.833261;0.888735;0.912477;0.733383;0.907184;0.867247;0.263003;0.448803;0.090344;0.392587;0.159156;0.569537;0.360629;0.971303;0.442308;0.188519;0.316718;0.856563;0.590097;0.461971;0.031122;0.155502;0.147138
