,onwind,solar
2011-01-01 00:00:00,0.371,0.0
2011-01-01 01:00:00,0.343,0.0
2011-01-01 02:00:00,0.323,0.0
2011-01-01 03:00:00,0.301,0.0
2011-01-01 04:00:00,0.282,0.0
2011-01-01 05:00:00,0.266,0.0
2011-01-01 06:00:00,0.256,0.0
2011-01-01 07:00:00,0.256,0.0
2011-01-01 08:00:00,0.252,0.0
2011-01-01 09:00:00,0.249,0.0
2011-01-01 10:00:00,0.241,0.0
2011-01-01 11:00:00,0.207,0.0
2011-01-01 12:00:00,0.179,0.0
2011-01-01 13:00:00,0.17,0.0
2011-01-01 14:00:00,0.168,0.0
2011-01-01 15:00:00,0.179,0.042
2011-01-01 16:00:00,0.176,0.295
2011-01-01 17:00:00,0.146,0.525
2011-01-01 18:00:00,0.126,0.681
2011-01-01 19:00:00,0.127,0.747
2011-01-01 20:00:00,0.124,0.743
2011-01-01 21:00:00,0.123,0.695
2011-01-01 22:00:00,0.078,0.604
2011-01-01 23:00:00,0.088,0.482
2011-01-02 00:00:00,0.092,0.001
2011-01-02 01:00:00,0.095,0.0
2011-01-02 02:00:00,0.106,0.0
2011-01-02 03:00:00,0.12,0.0
2011-01-02 04:00:00,0.144,0.0
2011-01-02 05:00:00,0.168,0.0
2011-01-02 06:00:00,0.189,0.0
2011-01-02 07:00:00,0.221,0.0
2011-01-02 08:00:00,0.266,0.0
2011-01-02 09:00:00,0.314,0.0
2011-01-02 10:00:00,0.311,0.0
2011-01-02 11:00:00,0.318,0.0
2011-01-02 12:00:00,0.331,0.0
2011-01-02 13:00:00,0.349,0.0
2011-01-02 14:00:00,0.337,0.0
2011-01-02 15:00:00,0.316,0.044
2011-01-02 16:00:00,0.284,0.309
2011-01-02 17:00:00,0.239,0.547
2011-01-02 18:00:00,0.186,0.693
2011-01-02 19:00:00,0.145,0.772
2011-01-02 20:00:00,0.112,0.789
2011-01-02 21:00:00,0.091,0.738
2011-01-02 22:00:00,0.056,0.629
2011-01-02 23:00:00,0.073,0.476
2011-01-03 00:00:00,0.084,0.001
2011-01-03 01:00:00,0.092,0.0
2011-01-03 02:00:00,0.09,0.0
2011-01-03 03:00:00,0.089,0.0
2011-01-03 04:00:00,0.089,0.0
2011-01-03 05:00:00,0.093,0.0
2011-01-03 06:00:00,0.094,0.0
2011-01-03 07:00:00,0.088,0.0
2011-01-03 08:00:00,0.081,0.0
2011-01-03 09:00:00,0.078,0.0
2011-01-03 10:00:00,0.092,0.0
2011-01-03 11:00:00,0.092,0.0
2011-01-03 12:00:00,0.099,0.0
2011-01-03 13:00:00,0.114,0.0
2011-01-03 14:00:00,0.126,0.0
2011-01-03 15:00:00,0.13,0.033
2011-01-03 16:00:00,0.108,0.273
2011-01-03 17:00:00,0.078,0.501
2011-01-03 18:00:00,0.067,0.665
2011-01-03 19:00:00,0.085,0.732
2011-01-03 20:00:00,0.104,0.75
2011-01-03 21:00:00,0.119,0.704
2011-01-03 22:00:00,0.158,0.618
2011-01-03 23:00:00,0.16,0.494
2011-01-04 00:00:00,0.157,0.004
2011-01-04 01:00:00,0.118,0.0
2011-01-04 02:00:00,0.079,0.0
2011-01-04 03:00:00,0.059,0.0
2011-01-04 04:00:00,0.052,0.0
2011-01-04 05:00:00,0.064,0.0
2011-01-04 06:00:00,0.086,0.0
2011-01-04 07:00:00,0.108,0.0
2011-01-04 08:00:00,0.13,0.0
2011-01-04 09:00:00,0.147,0.0
2011-01-04 10:00:00,0.187,0.0
2011-01-04 11:00:00,0.191,0.0
2011-01-04 12:00:00,0.197,0.0
2011-01-04 13:00:00,0.201,0.0
2011-01-04 14:00:00,0.208,0.0
2011-01-04 15:00:00,0.204,0.04
2011-01-04 16:00:00,0.158,0.285
2011-01-04 17:00:00,0.105,0.497
2011-01-04 18:00:00,0.08,0.647
2011-01-04 19:00:00,0.078,0.695
2011-01-04 20:00:00,0.082,0.695
2011-01-04 21:00:00,0.092,0.652
2011-01-04 22:00:00,0.065,0.548
2011-01-04 23:00:00,0.079,0.433
2011-01-05 00:00:00,0.088,0.007
2011-01-05 01:00:00,0.092,0.0
2011-01-05 02:00:00,0.091,0.0
2011-01-05 03:00:00,0.098,0.0
2011-01-05 04:00:00,0.109,0.0
2011-01-05 05:00:00,0.125,0.0
2011-01-05 06:00:00,0.151,0.0
2011-01-05 07:00:00,0.183,0.0
2011-01-05 08:00:00,0.222,0.0
2011-01-05 09:00:00,0.262,0.0
2011-01-05 10:00:00,0.256,0.0
2011-01-05 11:00:00,0.254,0.0
2011-01-05 12:00:00,0.265,0.0
2011-01-05 13:00:00,0.277,0.0
2011-01-05 14:00:00,0.277,0.0
2011-01-05 15:00:00,0.299,0.038
2011-01-05 16:00:00,0.268,0.266
2011-01-05 17:00:00,0.202,0.477
2011-01-05 18:00:00,0.175,0.607
2011-01-05 19:00:00,0.185,0.666
2011-01-05 20:00:00,0.196,0.642
2011-01-05 21:00:00,0.192,0.598
2011-01-05 22:00:00,0.206,0.503
2011-01-05 23:00:00,0.232,0.395
2011-01-06 00:00:00,0.241,0.013
2011-01-06 01:00:00,0.245,0.0
2011-01-06 02:00:00,0.245,0.0
2011-01-06 03:00:00,0.25,0.0
2011-01-06 04:00:00,0.247,0.0
2011-01-06 05:00:00,0.24,0.0
2011-01-06 06:00:00,0.249,0.0
2011-01-06 07:00:00,0.258,0.0
2011-01-06 08:00:00,0.261,0.0
2011-01-06 09:00:00,0.268,0.0
2011-01-06 10:00:00,0.253,0.0
2011-01-06 11:00:00,0.253,0.0
2011-01-06 12:00:00,0.289,0.0
2011-01-06 13:00:00,0.339,0.0
