,onwind,solar
2011-01-01 00:00:00,0.488,0.0
2011-01-01 01:00:00,0.523,0.0
2011-01-01 02:00:00,0.549,0.0
2011-01-01 03:00:00,0.576,0.0
2011-01-01 04:00:00,0.596,0.0
2011-01-01 05:00:00,0.615,0.0
2011-01-01 06:00:00,0.629,0.0
2011-01-01 07:00:00,0.63,0.0
2011-01-01 08:00:00,0.626,0.004
2011-01-01 09:00:00,0.625,0.041
2011-01-01 10:00:00,0.564,0.101
2011-01-01 11:00:00,0.566,0.149
2011-01-01 12:00:00,0.565,0.194
2011-01-01 13:00:00,0.551,0.182
2011-01-01 14:00:00,0.533,0.149
2011-01-01 15:00:00,0.512,0.075
2011-01-01 16:00:00,0.487,0.0
2011-01-01 17:00:00,0.473,0.0
2011-01-01 18:00:00,0.447,0.0
2011-01-01 19:00:00,0.421,0.0
2011-01-01 20:00:00,0.395,0.0
2011-01-01 21:00:00,0.371,0.0
2011-01-01 22:00:00,0.335,0.0
2011-01-01 23:00:00,0.319,0.0
2011-01-02 00:00:00,0.328,0.0
2011-01-02 01:00:00,0.331,0.0
2011-01-02 02:00:00,0.327,0.0
2011-01-02 03:00:00,0.327,0.0
2011-01-02 04:00:00,0.315,0.0
2011-01-02 05:00:00,0.302,0.0
2011-01-02 06:00:00,0.29,0.0
2011-01-02 07:00:00,0.277,0.0
2011-01-02 08:00:00,0.265,0.002
2011-01-02 09:00:00,0.259,0.057
2011-01-02 10:00:00,0.207,0.156
2011-01-02 11:00:00,0.19,0.254
2011-01-02 12:00:00,0.192,0.295
2011-01-02 13:00:00,0.205,0.247
2011-01-02 14:00:00,0.211,0.204
2011-01-02 15:00:00,0.232,0.12
2011-01-02 16:00:00,0.246,0.0
2011-01-02 17:00:00,0.249,0.0
2011-01-02 18:00:00,0.234,0.0
2011-01-02 19:00:00,0.216,0.0
2011-01-02 20:00:00,0.202,0.0
2011-01-02 21:00:00,0.191,0.0
2011-01-02 22:00:00,0.175,0.0
2011-01-02 23:00:00,0.163,0.0
2011-01-03 00:00:00,0.166,0.0
2011-01-03 01:00:00,0.166,0.0
2011-01-03 02:00:00,0.16,0.0
2011-01-03 03:00:00,0.148,0.0
2011-01-03 04:00:00,0.129,0.0
2011-01-03 05:00:00,0.116,0.0
2011-01-03 06:00:00,0.103,0.0
2011-01-03 07:00:00,0.096,0.0
2011-01-03 08:00:00,0.088,0.003
2011-01-03 09:00:00,0.088,0.05
2011-01-03 10:00:00,0.07,0.124
2011-01-03 11:00:00,0.058,0.214
2011-01-03 12:00:00,0.06,0.226
2011-01-03 13:00:00,0.06,0.206
2011-01-03 14:00:00,0.066,0.165
2011-01-03 15:00:00,0.08,0.107
2011-01-03 16:00:00,0.098,0.0
2011-01-03 17:00:00,0.11,0.0
2011-01-03 18:00:00,0.113,0.0
2011-01-03 19:00:00,0.119,0.0
2011-01-03 20:00:00,0.123,0.0
2011-01-03 21:00:00,0.125,0.0
2011-01-03 22:00:00,0.093,0.0
2011-01-03 23:00:00,0.106,0.0
2011-01-04 00:00:00,0.118,0.0
2011-01-04 01:00:00,0.121,0.0
2011-01-04 02:00:00,0.121,0.0
2011-01-04 03:00:00,0.123,0.0
2011-01-04 04:00:00,0.127,0.0
2011-01-04 05:00:00,0.137,0.0
2011-01-04 06:00:00,0.148,0.0
2011-01-04 07:00:00,0.157,0.0
2011-01-04 08:00:00,0.163,0.003
2011-01-04 09:00:00,0.171,0.047
2011-01-04 10:00:00,0.151,0.114
2011-01-04 11:00:00,0.168,0.169
2011-01-04 12:00:00,0.183,0.198
2011-01-04 13:00:00,0.187,0.192
2011-01-04 14:00:00,0.194,0.14
2011-01-04 15:00:00,0.217,0.098
2011-01-04 16:00:00,0.244,0.0
2011-01-04 17:00:00,0.27,0.0
2011-01-04 18:00:00,0.29,0.0
2011-01-04 19:00:00,0.306,0.0
2011-01-04 20:00:00,0.311,0.0
2011-01-04 21:00:00,0.307,0.0
2011-01-04 22:00:00,0.267,0.0
2011-01-04 23:00:00,0.284,0.0
2011-01-05 00:00:00,0.291,0.0
2011-01-05 01:00:00,0.29,0.0
2011-01-05 02:00:00,0.285,0.0
2011-01-05 03:00:00,0.288,0.0
2011-01-05 04:00:00,0.283,0.0
2011-01-05 05:00:00,0.285,0.0
2011-01-05 06:00:00,0.289,0.0
2011-01-05 07:00:00,0.297,0.0
2011-01-05 08:00:00,0.302,0.011
2011-01-05 09:00:00,0.289,0.097
2011-01-05 10:00:00,0.217,0.217
2011-01-05 11:00:00,0.215,0.312
2011-01-05 12:00:00,0.224,0.366
2011-01-05 13:00:00,0.242,0.373
2011-01-05 14:00:00,0.289,0.307
2011-01-05 15:00:00,0.357,0.216
2011-01-05 16:00:00,0.423,0.0
2011-01-05 17:00:00,0.484,0.0
2011-01-05 18:00:00,0.533,0.0
2011-01-05 19:00:00,0.575,0.0
2011-01-05 20:00:00,0.594,0.0
2011-01-05 21:00:00,0.614,0.0
2011-01-05 22:00:00,0.616,0.0
2011-01-05 23:00:00,0.669,0.0
2011-01-06 00:00:00,0.709,0.0
2011-01-06 01:00:00,0.735,0.0
2011-01-06 02:00:00,0.762,0.0
2011-01-06 03:00:00,0.778,0.0
2011-01-06 04:00:00,0.794,0.0
2011-01-06 05:00:00,0.801,0.0
2011-01-06 06:00:00,0.788,0.0
2011-01-06 07:00:00,0.75,0.0
2011-01-06 08:00:00,0.713,0.001
2011-01-06 09:00:00,0.671,0.012
2011-01-06 10:00:00,0.554,0.029
2011-01-06 11:00:00,0.51,0.048
2011-01-06 12:00:00,0.483,0.047
2011-01-06 13:00:00,0.453,0.039
2011-01-06 14:00:00,0.442,0.026
2011-01-06 15:00:00,0.454,0.008
2011-01-06 16:00:00,0.474,0.0
2011-01-06 17:00:00,0.52,0.0
2011-01-06 18:00:00,0.564,0.0
2011-01-06 19:00:00,0.599,0.0
2011-01-06 20:00:00,0.623,0.0
2011-01-06 21:00:00,0.631,0.0
2011-01-06 22:00:00,0.638,0.0
2011-01-06 23:00:00,0.625,0.0
2011-01-07 00:00:00,0.61,0.0
2011-01-07 01:00:00,0.575,0.0
2011-01-07 02:00:00,0.523,0.0
2011-01-07 03:00:00,0.472,0.0
2011-01-07 04:00:00,0.406,0.0
2011-01-07 05:00:00,0.332,0.0
2011-01-07 06:00:00,0.258,0.0
2011-01-07 07:00:00,0.196,0.0
2011-01-07 08:00:00,0.154,0.002
2011-01-07 09:00:00,0.131,0.025
2011-01-07 10:00:00,0.104,0.063
2011-01-07 11:00:00,0.108,0.089
2011-01-07 12:00:00,0.126,0.085
2011-01-07 13:00:00,0.158,0.067
2011-01-07 14:00:00,0.211,0.047
2011-01-07 15:00:00,0.271,0.022
2011-01-07 16:00:00,0.321,0.0
2011-01-07 17:00:00,0.371,0.0
2011-01-07 18:00:00,0.408,0.0
2011-01-07 19:00:00,0.443,0.0
2011-01-07 20:00:00,0.439,0.0
2011-01-07 21:00:00,0.424,0.0
2011-01-07 22:00:00,0.372,0.0
2011-01-07 23:00:00,0.357,0.0
2011-01-08 00:00:00,0.361,0.0
2011-01-08 01:00:00,0.369,0.0
