time,solar,onwind
2011-01-01 00:00:00,0.0,0.084
2011-01-01 01:00:00,0.0,0.131
2011-01-01 02:00:00,0.0,0.136
2011-01-01 03:00:00,0.0,0.11
2011-01-01 04:00:00,0.0,0.125
2011-01-01 05:00:00,0.0,0.142
2011-01-01 06:00:00,0.0,0.131
2011-01-01 07:00:00,0.0,0.122
2011-01-01 08:00:00,0.0,0.122
2011-01-01 09:00:00,0.0,0.123
2011-01-01 10:00:00,0.0,0.064
2011-01-01 11:00:00,0.0,0.076
2011-01-01 12:00:00,0.0,0.069
2011-01-01 13:00:00,0.021,0.133
2011-01-01 14:00:00,0.221,0.191
2011-01-01 15:00:00,0.395,0.149
2011-01-01 16:00:00,0.517,0.201
2011-01-01 17:00:00,0.582,0.211
2011-01-01 18:00:00,0.609,0.27
2011-01-01 19:00:00,0.33,0.355
2011-01-01 20:00:00,0.23,0.415
2011-01-01 21:00:00,0.076,0.409
2011-01-01 22:00:00,0.0,0.343
2011-01-01 23:00:00,0.0,0.345
2011-01-02 00:00:00,0.0,0.393
2011-01-02 01:00:00,0.0,0.403
2011-01-02 02:00:00,0.0,0.432
2011-01-02 03:00:00,0.0,0.442
2011-01-02 04:00:00,0.0,0.516
2011-01-02 05:00:00,0.0,0.493
2011-01-02 06:00:00,0.0,0.434
2011-01-02 07:00:00,0.0,0.39
2011-01-02 08:00:00,0.0,0.349
2011-01-02 09:00:00,0.0,0.287
2011-01-02 10:00:00,0.0,0.208
2011-01-02 11:00:00,0.0,0.161
2011-01-02 12:00:00,0.0,0.131
2011-01-02 13:00:00,0.0,0.133
2011-01-02 14:00:00,0.004,0.09
2011-01-02 15:00:00,0.014,0.07
2011-01-02 16:00:00,0.049,0.069
2011-01-02 17:00:00,0.037,0.051
2011-01-02 18:00:00,0.031,0.029
2011-01-02 19:00:00,0.076,0.033
2011-01-02 20:00:00,0.018,0.104
2011-01-02 21:00:00,0.009,0.118
2011-01-02 22:00:00,0.0,0.034
2011-01-02 23:00:00,0.0,0.102
2011-01-03 00:00:00,0.0,0.33
2011-01-03 01:00:00,0.0,0.617
2011-01-03 02:00:00,0.0,0.76
2011-01-03 03:00:00,0.0,0.755
2011-01-03 04:00:00,0.0,0.624
2011-01-03 05:00:00,0.0,0.519
2011-01-03 06:00:00,0.0,0.485
