,onwind,solar
2011-01-01 00:00:00,0.423,0.08
2011-01-01 01:00:00,0.437,0.003
2011-01-01 02:00:00,0.451,0.001
2011-01-01 03:00:00,0.462,0.0
2011-01-01 04:00:00,0.471,0.0
2011-01-01 05:00:00,0.475,0.0
2011-01-01 06:00:00,0.475,0.0
2011-01-01 07:00:00,0.476,0.0
2011-01-01 08:00:00,0.475,0.0
2011-01-01 09:00:00,0.472,0.0
2011-01-01 10:00:00,0.47,0.0
2011-01-01 11:00:00,0.465,0.0
2011-01-01 12:00:00,0.464,0.0
2011-01-01 13:00:00,0.466,0.001
2011-01-01 14:00:00,0.465,0.012
2011-01-01 15:00:00,0.459,0.061
2011-01-01 16:00:00,0.462,0.172
2011-01-01 17:00:00,0.462,0.299
2011-01-01 18:00:00,0.463,0.396
2011-01-01 19:00:00,0.464,0.439
2011-01-01 20:00:00,0.466,0.449
2011-01-01 21:00:00,0.467,0.418
2011-01-01 22:00:00,0.445,0.355
2011-01-01 23:00:00,0.447,0.24
2011-01-02 00:00:00,0.456,0.079
2011-01-02 01:00:00,0.463,0.002
2011-01-02 02:00:00,0.467,0.001
2011-01-02 03:00:00,0.465,0.0
2011-01-02 04:00:00,0.46,0.0
2011-01-02 05:00:00,0.455,0.0
2011-01-02 06:00:00,0.45,0.0
2011-01-02 07:00:00,0.446,0.0
2011-01-02 08:00:00,0.441,0.0
2011-01-02 09:00:00,0.435,0.0
2011-01-02 10:00:00,0.426,0.0
2011-01-02 11:00:00,0.418,0.0
2011-01-02 12:00:00,0.408,0.0
2011-01-02 13:00:00,0.399,0.0
2011-01-02 14:00:00,0.394,0.015
2011-01-02 15:00:00,0.383,0.086
2011-01-02 16:00:00,0.363,0.209
2011-01-02 17:00:00,0.359,0.334
2011-01-02 18:00:00,0.359,0.425
2011-01-02 19:00:00,0.357,0.474
2011-01-02 20:00:00,0.353,0.472
2011-01-02 21:00:00,0.347,0.428
2011-01-02 22:00:00,0.307,0.354
2011-01-02 23:00:00,0.32,0.213
2011-01-03 00:00:00,0.339,0.07
2011-01-03 01:00:00,0.349,0.002
2011-01-03 02:00:00,0.352,0.001
2011-01-03 03:00:00,0.348,0.0
2011-01-03 04:00:00,0.344,0.0
2011-01-03 05:00:00,0.337,0.0
2011-01-03 06:00:00,0.33,0.0
2011-01-03 07:00:00,0.319,0.0
2011-01-03 08:00:00,0.307,0.0
2011-01-03 09:00:00,0.295,0.0
2011-01-03 10:00:00,0.287,0.0
2011-01-03 11:00:00,0.273,0.0
2011-01-03 12:00:00,0.262,0.0
2011-01-03 13:00:00,0.254,0.002
2011-01-03 14:00:00,0.249,0.031
2011-01-03 15:00:00,0.237,0.108
2011-01-03 16:00:00,0.22,0.228
2011-01-03 17:00:00,0.219,0.356
2011-01-03 18:00:00,0.222,0.452
2011-01-03 19:00:00,0.23,0.487
2011-01-03 20:00:00,0.234,0.485
2011-01-03 21:00:00,0.235,0.44
2011-01-03 22:00:00,0.227,0.359
2011-01-03 23:00:00,0.237,0.231
2011-01-04 00:00:00,0.259,0.084
2011-01-04 01:00:00,0.28,0.001
2011-01-04 02:00:00,0.295,0.001
2011-01-04 03:00:00,0.304,0.001
2011-01-04 04:00:00,0.31,0.0
2011-01-04 05:00:00,0.312,0.0
2011-01-04 06:00:00,0.314,0.0
2011-01-04 07:00:00,0.313,0.0
2011-01-04 08:00:00,0.311,0.0
2011-01-04 09:00:00,0.308,0.0
2011-01-04 10:00:00,0.3,0.0
2011-01-04 11:00:00,0.291,0.0
2011-01-04 12:00:00,0.281,0.0
2011-01-04 13:00:00,0.27,0.001
2011-01-04 14:00:00,0.256,0.02
2011-01-04 15:00:00,0.236,0.083
2011-01-04 16:00:00,0.217,0.208
2011-01-04 17:00:00,0.206,0.34
2011-01-04 18:00:00,0.207,0.438
2011-01-04 19:00:00,0.216,0.489
2011-01-04 20:00:00,0.223,0.487
2011-01-04 21:00:00,0.23,0.443
2011-01-04 22:00:00,0.206,0.365
2011-01-04 23:00:00,0.23,0.222
2011-01-05 00:00:00,0.251,0.091
2011-01-05 01:00:00,0.265,0.003
2011-01-05 02:00:00,0.275,0.001
2011-01-05 03:00:00,0.281,0.0
2011-01-05 04:00:00,0.286,0.0
2011-01-05 05:00:00,0.289,0.0
2011-01-05 06:00:00,0.29,0.0
2011-01-05 07:00:00,0.293,0.0
2011-01-05 08:00:00,0.296,0.0
2011-01-05 09:00:00,0.297,0.0
2011-01-05 10:00:00,0.301,0.0
2011-01-05 11:00:00,0.298,0.0
2011-01-05 12:00:00,0.296,0.0
2011-01-05 13:00:00,0.296,0.001
