Energy	DFlux	DFluence_1year
MeV	cm-2MeV-1s-1	
0,04	49838000000	1,571691168E18
0,1	23785000000	7,5008376E17
0,2	1267900000	3,99844944E16
0,3	303540000	9,57243744E15
0,4	138940000	4,38161184E15
0,5	91860000	2,89689696E15
0,6	47654000	1,502816544E15
0,7	45309000	1,428864624E15
0,8	44416000	1,400702976E15
1	38751000	1,222051536E15
1,25	30416000	959198976000000
1,5	19729000	622173744000000
1,75	11163000	352036368000000
2	7277900	229515854400000
2,25	4261500	134390664000000
2,5	1829600	57698265600000
2,75	701300	22116196800000
3	304110	9590412960000
3,25	129120	4071928320000
3,5	59153	1865449008000
3,75	26848	846678528000
4	9683,3	305372548800
4,25	3490,6	110079561600
4,5	1268,1	39990801600
4,75	438,9	13841150400
5	69,173	2181439728
5,5	3,694	116493984
6	0	0
6,5	0	0
7	0	0
