	DFluence
0,1	592820000000
0,11	558210000000
0,12	526390000000
0,14	473450000000
0,16	430210000000
0,18	394780000000
0,2	365100000000
0,22	340060000000
0,25	308580000000
0,28	282500000000
0,32	253780000000
0,35	235900000000
0,4	211250000000
0,45	190870000000
0,5	173960000000
0,55	159850000000
0,63	141250000000
0,71	126090000000
0,8	112270000000
0,9	99729000000
1	89405000000
1,1	80785000000
1,2	73635000000
1,4	62124000000
1,6	53079000000
1,8	45977000000
2	40265000000
2,2	35643000000
2,5	30090000000
2,8	25726000000
3,2	21190000000
3,5	18530000000
4	13449000000
4,5	9576400000
5	8268000000
5,5	7225100000
6,3	5917400000
7,1	4911800000
8	4050800000
9	3319200000
10	2366600000
11	1627100000
12	1440200000
14	1149800000
16	930870000
18	766540000
20	639930000
22	541800000
25	429350000
28	323550000
32	195510000
35	147630000
40	120450000
45	99441000
50	83204000
55	70614000
63	55311000
71	43950000
80	34596000
90	26961000
100	21315000
110	17075000
120	13933000
140	9527500
160	6592600
180	4670800
200	3372700
220	2492100
250	1621900
280	1075100
320	634010
350	435170
400	243730
450	136250
500	61116
