		DFluence_1year
0,04	1267300	39965572800000
0,1	759880	23963575680000
0,2	244650	7715282400000
0,3	117420	3702957120000
0,4	74571	2351671056000
0,5	50548	1594081728000
0,6	32436	1022901696000
0,7	28341	893761776000
0,8	24846	783543456000
1	20978	661562208000
1,25	18004	567774144000
1,5	13716	432547776000
1,75	9966,9	314316158400
2	7535,1	237626913600
2,25	5516,6	173971497600
2,5	3881,4	122403830400
2,75	2719,8	85771612800
3	1952,3	61567732800
3,25	1405,8	44333308800
3,5	1027,8	32412700800
3,75	751,86	23710656960
4	529,63	16702411680
4,25	374,06	11796356160
4,5	232,1	7319505600
4,75	145,34	4583442240
5	88,283	2784092688
5,5	33,176	1046238336
6	7,3293	231136804,8
6,5	1,0628	33516460,8
7	0	0
