Energy	DFlux	DFluence_1year
MeV	cm-2*s-1*MeV-1	
0,1	1343,3	42362308800
0,15	1089	34342704000
0,2	855,13	26967379680
0,3	545,15	17191850400
0,4	346,14	10915871040
0,5	216,04	6813037440
0,6	173,64	5475911040
0,7	144,99	4572404640
1	82,073	2588254128
1,5	38,409	1211266224
2	24,697	778844592
3	12,229	385653744
4	7,1063	224104276,8
5	4,2607	134365435,2
6	2,7763	87553396,8
7	1,8054	56935094,4
10	0,90306	28478900,16
15	0,35578	11219878,08
20	0,21502	6780870,72
30	0,13604	4290157,44
40	0,10823	3413141,28
50	0,10493	3309072,48
60	0,10542	3324525,12
70	0,095668	3016986,048
100	0,071565	2256873,84
150	0,041014	1293417,504
200	0,021909	690922,224
300	0,0071458	225349,9488
400	0	0
