	DFluence
0,1	276940000
0,11	260770000
0,12	245910000
0,14	221180000
0,16	200970000
0,18	184420000
0,2	170560000
0,22	158860000
0,25	144150000
0,28	131970000
0,32	118560000
0,35	110200000
0,4	98686000
0,45	89166000
0,5	81265000
0,55	74677000
0,63	65985000
0,71	58904000
0,8	52446000
0,9	46589000
1	41766000
1,1	37739000
1,2	34399000
1,4	29022000
1,6	24796000
1,8	21478000
2	18810000
2,2	16651000
2,5	14057000
2,8	12018000
3,2	9899300
3,5	8656300
4	6282800
4,5	4473700
5	3862500
5,5	3375200
6,3	2764400
7,1	2294600
8	1892400
9	1550600
10	1105600
11	760090
12	672800
14	537120
16	434860
18	358090
20	298950
22	253100
25	200570
28	151150
32	91333
35	68964
40	56267
45	46454
50	38869
55	32988
63	25839
71	20532
80	16162
90	12595
100	9957,4
110	7976,7
120	6509
140	4450,8
160	4467,1
180	8008,2
200	12549
220	13758
250	11709
280	9606,7
320	7726,6
350	6367,3
400	4584,8
450	3132,2
500	1666,2
