		DFluence_1year
0,04	7332500000	2,3123772E17
0,1	3868000000	1,21981248E17
0,2	722640000	2,278917504E16
0,3	366930000	1,157150448E16
0,4	246220000	7,76479392E15
0,5	180870000	5,70391632E15
0,6	129240000	4,07571264E15
0,7	108390000	3,41818704E15
0,8	89722000	2,829472992E15
1	72542000	2,287684512E15
1,25	60981000	1,923096816E15
1,5	44180000	1,39326048E15
1,75	30864000	973327104000000
2	21337000	672883632000000
2,25	13822000	435890592000000
2,5	9495000	299434320000000
2,75	6564500	207018072000000
3	4207000	132671952000000
3,25	2677900	84450254400000
3,5	1685400	53150774400000
3,75	1058700	33387163200000
4	603750	19039860000000
4,25	343470	10831669920000
4,5	177820	5607731520000
4,75	91121	2873591856000
5	40383	1273518288000
5,5	9032,6	284852073600
6	1063,3	33532228800
6,5	72,872	2298091392
7	0	0
