		DFluence_1year
0,1	148000000	4,667328E15
0,15	110540000	3,48598944E15
0,2	79214000	2,498092704E15
0,3	42177000	1,330093872E15
0,4	23880000	753079680000000
0,5	13788000	434818368000000
0,6	7936300	250279156800000
0,7	4898700	154485403200000
1	1613700	50889643200000
1,5	194580	6136274880000
2	23223	732360528000
3	916,15	28891706400
4	39,404	1242644544
5	1,715	54084240
6	0,044643	1407861,648
7	0	0
10	0	0
15	0	0
20	0	0
30	0	0
40	0	0
50	0	0
60	0	0
70	0	0
100	0	0
150	0	0
200	0	0
300	0	0
400	0	0
