	DFluence
0,1	391150000000
0,11	368320000000
0,12	347320000000
0,14	312400000000
0,16	283860000000
0,18	260480000000
0,2	240900000000
0,22	224380000000
0,25	203610000000
0,28	186400000000
0,32	167450000000
0,35	155650000000
0,4	139390000000
0,45	125940000000
0,5	114780000000
0,55	105480000000
0,63	93199000000
0,71	83198000000
0,8	74076000000
0,9	65803000000
1	58991000000
1,1	53304000000
1,2	48586000000
1,4	40991000000
1,6	35023000000
1,8	30337000000
2	26568000000
2,2	23518000000
2,5	19854000000
2,8	16975000000
3,2	13982000000
3,5	12226000000
4	8874000000
4,5	6318700000
5	5455400000
5,5	4767300000
6,3	3904500000
7,1	3240900000
8	2672800000
9	2190100000
10	1561600000
11	1073600000
12	950270000
14	758640000
16	614210000
18	505780000
20	422240000
22	357490000
25	283300000
28	213490000
32	129000000
35	97407000
40	79473000
45	65613000
50	54900000
55	46593000
63	36496000
71	28999000
80	22827000
90	17789000
100	14098000
110	11369000
120	9370500
140	6583400
160	4739600
180	3501600
200	2612500
220	1980900
250	1332200
280	907750
320	549870
350	383280
400	219600
450	125130
500	56999
