nm top,QE top,nm middle,QE middle,nm bottom,QE bottom
325.42,0.050389,500.14,0.0117,798.73,0.036653
325.68,0.052806,500.4,0.0117,798.98,0.036653
325.95,0.055316,500.66,0.0117,799.23,0.036653
326.21,0.057733,500.92,0.0117,799.48,0.036653
326.48,0.060244,501.18,0.0117,799.73,0.036653
326.74,0.062661,501.44,0.0117,799.98,0.036653
327.01,0.065171,501.7,0.0117,800.23,0.036653
327.28,0.067681,501.96,0.0117,800.48,0.036653
327.54,0.070098,502.22,0.0117,800.73,0.036653
327.81,0.072608,502.49,0.0117,800.98,0.036653
328.07,0.075026,502.75,0.0117,801.23,0.036653
328.34,0.077536,503.01,0.0117,801.48,0.036653
328.6,0.079953,503.27,0.0117,801.73,0.036653
328.87,0.082463,503.53,0.0117,801.98,0.036653
329.14,0.084973,503.79,0.0117,802.23,0.036653
329.4,0.08739,504.05,0.0117,802.48,0.036653
329.67,0.089901,504.31,0.0117,802.72,0.036653
329.93,0.092318,504.57,0.0117,802.97,0.036653
330.2,0.094828,504.83,0.0117,803.22,0.036653
330.46,0.097245,505.09,0.0117,803.47,0.036653
330.73,0.099755,505.35,0.0117,803.72,0.036653
331,0.10227,505.61,0.0117,803.97,0.036653
331.26,0.10468,505.87,0.0117,804.22,0.036653
331.53,0.10719,506.13,0.0117,804.47,0.036653
331.79,0.10961,506.39,0.0117,804.72,0.036653
332.06,0.11212,506.65,0.0117,804.97,0.036653
332.32,0.11454,506.91,0.0117,805.22,0.036653
332.59,0.11705,507.17,0.0117,805.47,0.036653
332.86,0.11956,507.43,0.0117,805.72,0.036653
333.12,0.12197,507.69,0.0117,805.97,0.036653
333.39,0.12448,507.95,0.0117,806.22,0.036653
333.65,0.1269,508.21,0.0117,806.47,0.036653
333.92,0.12941,508.47,0.0117,806.72,0.036653
334.18,0.13183,508.73,0.0117,806.97,0.036653
334.45,0.13434,508.99,0.0117,807.22,0.036653
334.71,0.13676,509.25,0.0117,807.47,0.036653
334.98,0.13927,509.51,0.0117,807.72,0.036653
335.24,0.14168,509.77,0.0117,807.96,0.036653
335.51,0.14419,510.03,0.0117,808.21,0.036653
335.78,0.1467,510.29,0.0117,808.46,0.036653
336.04,0.14912,510.55,0.0117,808.71,0.036653
336.31,0.15163,510.81,0.0117,808.96,0.036653
336.57,0.15405,511.07,0.0117,809.21,0.036653
336.84,0.15656,511.33,0.0117,809.46,0.036653
337.1,0.15898,511.59,0.0117,809.71,0.036653
337.37,0.16149,511.85,0.0117,809.96,0.036653
337.63,0.1639,512.11,0.0117,810.21,0.036653
337.9,0.16641,512.37,0.0117,810.46,0.036653
338.17,0.16892,512.63,0.0117,810.71,0.036653
338.43,0.17134,512.89,0.0117,810.96,0.036653
338.7,0.17385,513.15,0.0117,811.21,0.036653
338.96,0.17627,513.41,0.0117,811.46,0.036653
339.23,0.17878,513.67,0.0117,811.7,0.036653
339.49,0.1812,513.93,0.0117,811.95,0.036653
339.76,0.18371,514.19,0.0117,812.2,0.036653
340.02,0.18612,514.45,0.0117,812.45,0.036653
340.29,0.18863,514.71,0.0117,812.7,0.036653
340.55,0.19105,514.97,0.0117,812.95,0.036653
340.82,0.19356,515.23,0.0117,813.2,0.036653
341.08,0.19598,515.49,0.0117,813.45,0.036653
341.35,0.19849,515.75,0.0117,813.7,0.036653
341.62,0.201,516.01,0.0117,813.95,0.036653
341.88,0.20342,516.27,0.0117,814.2,0.036653
342.15,0.20593,516.53,0.0117,814.45,0.036653
342.41,0.20834,516.79,0.0117,814.7,0.036653
342.68,0.21085,517.05,0.0117,814.94,0.036653
342.94,0.21327,517.31,0.0117,815.19,0.036653
343.21,0.21578,517.57,0.0117,815.44,0.036653
343.47,0.2182,517.83,0.0117,815.69,0.036653
343.74,0.22071,518.09,0.0117,815.94,0.036653
344,0.22312,518.35,0.0117,816.19,0.036653
344.27,0.22563,518.61,0.0117,816.44,0.036653
344.53,0.22805,518.87,0.0117,816.69,0.036653
344.8,0.23056,519.13,0.0117,816.94,0.036653
345.06,0.23298,519.39,0.0117,817.19,0.036653
345.33,0.23549,519.65,0.0117,817.44,0.036653
345.59,0.23791,519.91,0.0117,817.68,0.036653
345.86,0.24042,520.17,0.011741,817.93,0.036653
346.12,0.24283,520.43,0.011784,818.18,0.036653
346.39,0.24534,520.69,0.011827,818.43,0.036653
346.65,0.24776,520.95,0.01187,818.68,0.036653
346.92,0.25027,521.21,0.011913,818.93,0.036657
347.19,0.25278,521.47,0.011956,819.18,0.036681
347.45,0.2552,521.73,0.011999,819.43,0.036705
347.72,0.25771,521.99,0.012042,819.68,0.036729
347.98,0.26013,522.25,0.012085,819.93,0.036753
348.25,0.26264,522.5,0.012127,820.17,0.036776
348.51,0.26505,522.76,0.01217,820.42,0.0368
348.78,0.26756,523.02,0.012213,820.67,0.036824
349.04,0.26998,523.28,0.012256,820.92,0.036848
349.31,0.27241,523.54,0.012299,821.17,0.036872
349.57,0.27476,523.8,0.012342,821.42,0.036896
349.84,0.27719,524.06,0.012385,821.67,0.03692
350.1,0.27953,524.32,0.012428,821.92,0.036944
350.37,0.28197,524.58,0.012471,822.17,0.036968
350.63,0.28431,524.84,0.012514,822.41,0.036991
350.9,0.28674,525.1,0.012557,822.66,0.037015
351.16,0.28908,525.36,0.0126,822.91,0.037039
351.43,0.29152,525.62,0.012644,823.16,0.037063
351.69,0.29386,525.88,0.012687,823.41,0.037087
351.96,0.29629,526.14,0.01273,823.66,0.037111
352.22,0.29864,526.4,0.012773,823.91,0.037135
352.49,0.30107,526.66,0.012816,824.16,0.037159
352.75,0.30341,526.92,0.012859,824.4,0.037182
353.02,0.30584,527.18,0.012902,824.65,0.037206
353.28,0.30819,527.44,0.012945,824.9,0.03723
353.55,0.31062,527.7,0.012988,825.15,0.037254
353.81,0.31296,527.96,0.013031,825.4,0.037278
354.08,0.31539,528.22,0.013074,825.65,0.037302
354.34,0.31774,528.48,0.013117,825.9,0.037326
354.61,0.32017,528.73,0.013159,826.15,0.03735
354.87,0.32251,528.99,0.013202,826.39,0.037373
355.14,0.32495,529.25,0.013245,826.64,0.037397
355.4,0.32729,529.51,0.013288,826.89,0.037421
355.67,0.32972,529.77,0.013331,827.14,0.037445
355.93,0.33206,530.03,0.013374,827.39,0.037469
356.2,0.3345,530.29,0.013417,827.64,0.037493
356.46,0.33684,530.55,0.01346,827.89,0.037517
356.73,0.33927,530.81,0.013503,828.13,0.03754
356.99,0.34162,531.07,0.013546,828.38,0.037564
357.26,0.34405,531.33,0.013589,828.63,0.037588
357.52,0.34639,531.59,0.013632,828.88,0.037612
357.79,0.34882,531.85,0.013675,829.13,0.037636
358.05,0.35117,532.11,0.013719,829.38,0.03766
358.32,0.3536,532.37,0.013762,829.63,0.037684
358.58,0.35594,532.63,0.013805,829.87,0.037707
358.84,0.35829,532.88,0.013846,830.12,0.037731
359.11,0.36072,533.14,0.013889,830.37,0.037755
359.37,0.36306,533.4,0.013932,830.62,0.037779
359.64,0.36549,533.66,0.013975,830.87,0.037803
359.9,0.36855,533.92,0.014018,831.12,0.037827
360.17,0.37247,534.18,0.014061,831.37,0.037851
360.43,0.37624,534.44,0.014104,831.61,0.037874
360.7,0.38015,534.7,0.014148,831.86,0.037898
360.96,0.38392,534.96,0.014191,832.11,0.037922
361.23,0.38784,535.22,0.014234,832.36,0.037946
361.49,0.39161,535.48,0.014277,832.61,0.03797
361.76,0.39552,535.74,0.01432,832.86,0.037994
362.02,0.39929,536,0.014363,833.11,0.038018
362.29,0.40321,536.26,0.014406,833.35,0.038041
362.55,0.40698,536.51,0.014447,833.6,0.038065
362.82,0.41089,536.77,0.01449,833.85,0.038089
363.08,0.41466,537.03,0.014533,834.1,0.038113
363.35,0.41858,537.29,0.014577,834.35,0.038137
363.61,0.42235,537.55,0.01462,834.6,0.038161
363.87,0.42612,537.81,0.014663,834.84,0.038184
364.14,0.43003,538.07,0.014706,835.09,0.038208
364.4,0.4338,538.33,0.014749,835.34,0.038232
364.67,0.43772,538.59,0.014792,835.59,0.038256
364.93,0.44149,538.85,0.014835,835.84,0.03828
365.2,0.4454,539.11,0.014878,836.09,0.038304
365.46,0.44917,539.37,0.014921,836.33,0.038327
365.73,0.45309,539.62,0.014962,836.58,0.038351
365.99,0.45686,539.88,0.015008,836.83,0.038375
366.26,0.46077,540.14,0.015074,837.08,0.038399
366.52,0.46454,540.4,0.015139,837.33,0.038423
366.79,0.46846,540.66,0.015204,837.58,0.038447
367.05,0.47223,540.92,0.015269,837.82,0.03847
367.31,0.476,541.18,0.015335,838.07,0.038494
367.58,0.47991,541.44,0.0154,838.32,0.038518
367.84,0.48368,541.7,0.015465,838.57,0.038542
368.11,0.4876,541.96,0.01553,838.82,0.038566
368.37,0.49137,542.21,0.015593,839.06,0.038589
368.64,0.49528,542.47,0.015658,839.31,0.038669
368.9,0.49905,542.73,0.015724,839.56,0.038792
369.17,0.50152,542.99,0.015789,839.81,0.038915
369.43,0.50346,543.25,0.015854,840.06,0.039039
369.7,0.50548,543.51,0.015919,840.31,0.039162
369.96,0.50742,543.77,0.015985,840.55,0.03928
370.22,0.50935,544.03,0.01605,840.8,0.039404
370.49,0.51137,544.29,0.016115,841.05,0.039527
370.75,0.51331,544.55,0.01618,841.3,0.03965
371.02,0.51532,544.8,0.016243,841.55,0.039774
371.28,0.51726,545.06,0.016308,841.79,0.039892
371.55,0.51927,545.32,0.016374,842.04,0.040015
371.81,0.52121,545.58,0.016439,842.29,0.040138
372.08,0.52323,545.84,0.016504,842.54,0.040262
372.34,0.52516,546.1,0.016569,842.79,0.040385
372.6,0.5271,546.36,0.016635,843.03,0.040503
372.87,0.52912,546.62,0.0167,843.28,0.040627
373.13,0.53106,546.88,0.016765,843.53,0.04075
373.4,0.53307,547.13,0.016828,843.78,0.040873
373.66,0.53501,547.39,0.016893,844.03,0.040997
373.93,0.53702,547.65,0.016958,844.27,0.041115
374.19,0.53896,547.91,0.017024,844.52,0.041238
374.46,0.54097,548.17,0.017089,844.77,0.041362
374.72,0.54291,548.43,0.017154,845.02,0.041485
374.98,0.54485,548.69,0.017219,845.27,0.041608
375.25,0.54686,548.95,0.017285,845.51,0.041727
375.51,0.5488,549.21,0.01735,845.76,0.04185
375.78,0.55082,549.46,0.017413,846.01,0.041973
376.04,0.55276,549.72,0.017478,846.26,0.042096
376.31,0.55477,549.98,0.017543,846.51,0.04222
376.57,0.55671,550.24,0.017608,846.75,0.042338
376.83,0.55865,550.5,0.017674,847,0.042461
377.1,0.56066,550.76,0.017739,847.25,0.042585
377.36,0.5626,551.02,0.017804,847.5,0.042708
377.63,0.56461,551.28,0.017869,847.74,0.042826
377.89,0.56655,551.53,0.017932,847.99,0.04295
378.16,0.56856,551.79,0.017997,848.24,0.043073
378.42,0.5705,552.05,0.018063,848.49,0.043196
378.68,0.57244,552.31,0.018128,848.74,0.04332
378.95,0.57446,552.57,0.018193,848.98,0.043438
379.21,0.57639,552.83,0.018258,849.23,0.043561
379.48,0.57841,553.09,0.018324,849.48,0.043684
379.74,0.58027,553.34,0.018386,849.73,0.043808
380,0.58178,553.6,0.018452,849.97,0.043926
380.27,0.58334,553.86,0.018517,850.22,0.044049
380.53,0.58485,554.12,0.018582,850.47,0.044173
380.8,0.58642,554.38,0.018647,850.72,0.044296
381.06,0.58793,554.64,0.018713,850.97,0.044419
381.33,0.58949,554.9,0.018778,851.21,0.044538
381.59,0.591,555.15,0.018841,851.46,0.044661
381.85,0.59251,555.41,0.018906,851.71,0.044784
382.12,0.59407,555.67,0.018971,851.96,0.044908
382.38,0.59558,555.93,0.019036,852.2,0.045026
382.65,0.59715,556.19,0.019102,852.45,0.045149
382.91,0.59866,556.45,0.019167,852.7,0.045273
383.17,0.60016,556.71,0.019232,852.95,0.045396
383.44,0.60173,556.96,0.019295,853.19,0.045514
383.7,0.60324,557.22,0.01936,853.44,0.045637
383.97,0.6048,557.48,0.019425,853.69,0.045761
384.23,0.60631,557.74,0.019491,853.94,0.045884
384.49,0.60782,558,0.019556,854.19,0.046007
384.76,0.60939,558.26,0.019621,854.43,0.046126
385.02,0.61089,558.52,0.019686,854.68,0.046249
385.29,0.61246,558.77,0.019749,854.93,0.046372
385.55,0.61397,559.03,0.019814,855.18,0.046496
385.81,0.61548,559.29,0.01988,855.42,0.046614
386.08,0.61704,559.55,0.019945,855.67,0.046737
386.34,0.61855,559.81,0.020009,855.92,0.046861
386.61,0.62012,560.07,0.02007,856.17,0.046984
386.87,0.62162,560.32,0.020128,856.41,0.047102
387.13,0.62313,560.58,0.020189,856.66,0.047226
387.4,0.6247,560.84,0.020249,856.91,0.047349
387.66,0.62621,561.1,0.02031,857.16,0.047472
387.93,0.62777,561.36,0.020371,857.4,0.04759
388.19,0.62928,561.62,0.020431,857.65,0.047714
388.45,0.63079,561.87,0.020489,857.9,0.047837
388.72,0.63235,562.13,0.02055,858.15,0.04796
388.98,0.63375,562.39,0.020611,858.39,0.048079
389.25,0.63497,562.65,0.020671,858.64,0.048202
389.51,0.63615,562.91,0.020732,858.89,0.048325
389.77,0.63733,563.17,0.020792,859.13,0.048444
390.04,0.63855,563.42,0.020851,859.38,0.048567
390.3,0.63973,563.68,0.020911,859.63,0.049895
390.57,0.64095,563.94,0.020972,859.88,0.051663
390.83,0.64213,564.2,0.021032,860.12,0.053361
391.09,0.64331,564.46,0.021093,860.37,0.055129
391.36,0.64453,564.72,0.021154,860.62,0.056898
391.62,0.64571,564.97,0.021212,860.87,0.058666
391.88,0.64689,565.23,0.021272,861.11,0.060364
392.15,0.64811,565.49,0.021333,861.36,0.062132
392.41,0.64929,565.75,0.021394,861.61,0.063901
392.68,0.65051,566.01,0.021454,861.86,0.065669
392.94,0.65169,566.27,0.021515,862.1,0.067367
393.2,0.65287,566.52,0.021573,862.35,0.069135
393.47,0.65409,566.78,0.021634,862.6,0.070904
393.73,0.65527,567.04,0.021694,862.84,0.072601
393.99,0.65645,567.3,0.021755,863.09,0.07437
394.26,0.65767,567.56,0.021815,863.34,0.076138
394.52,0.65885,567.81,0.021874,863.59,0.077907
394.79,0.66007,568.07,0.021934,863.83,0.079604
395.05,0.66125,568.33,0.021995,864.08,0.081373
395.31,0.66243,568.59,0.022055,864.33,0.083141
395.58,0.66365,568.85,0.022116,864.57,0.084839
395.84,0.66483,569.11,0.022177,864.82,0.086608
396.1,0.66601,569.36,0.022235,865.07,0.088376
396.37,0.66723,569.62,0.022295,865.32,0.090144
396.63,0.66841,569.88,0.022356,865.56,0.091842
396.9,0.66963,570.14,0.022417,865.81,0.093611
397.16,0.67081,570.4,0.022477,866.06,0.095379
397.42,0.67199,570.65,0.022535,866.3,0.097077
