wavelength (nm),QE
300,0.289979
302,0.2982944
304,0.3066098
306,0.3149252
308,0.3232406
310,0.3312362
312,0.337313
314,0.34307
316,0.348827
318,0.354584
320,0.36031435
322,0.3658848
324,0.3714286
326,0.3769724
328,0.3825162
330,0.38819325
332,0.3946698
334,0.4012796
336,0.4078894
338,0.4144992
340,0.42164205
342,0.4319832
344,0.4428574
346,0.4537316
348,0.4646058
350,0.4755866
352,0.487207
354,0.498934
356,0.510661
358,0.522388
360,0.53571415
362,0.5586352
364,0.5831554
366,0.6076756
368,0.6321958
370,0.656795975
372,0.681876
374,0.707036
376,0.732196
378,0.757356
380,0.781369925
382,0.7985074
384,0.8144988
386,0.8304902
388,0.8464816
390,0.861460225
392,0.8703622
394,0.8782514
396,0.8861406
398,0.8940298
400,0.90143925
402,0.9059702
404,0.9100214
406,0.9140726
408,0.9181238
410,0.92220165
412,0.9264394
414,0.9307038
416,0.9349682
418,0.9392326
420,0.94296395
422,0.943497
424,0.943497
426,0.943497
428,0.943497
430,0.943497
432,0.943497
434,0.943497
436,0.943497
438,0.943497
440,0.94357695
442,0.9441366
444,0.9447762
446,0.9454158
448,0.9460554
450,0.946801625
452,0.9481876
454,0.9496802
456,0.9511728
458,0.9526654
460,0.954051375
462,0.9547976
464,0.9554372
466,0.9560768
468,0.9567164
470,0.957356
472,0.9579956
474,0.9586352
476,0.9592748
478,0.9599144
480,0.960554025
482,0.9611938
484,0.9618336
486,0.9624734
488,0.9631132
490,0.963832925
492,0.9650322
494,0.9663114
496,0.9675906
498,0.9688698
500,0.9700424
502,0.9705754
504,0.9710018
506,0.9714282
508,0.9718546
510,0.9722277
512,0.972281
514,0.972281
516,0.972281
518,0.972281
520,0.972387625
522,0.973134
524,0.973987
526,0.97484
528,0.975693
530,0.976519325
532,0.9771856
534,0.9778252
536,0.9784648
538,0.9791044
540,0.97955745
542,0.9788912
544,0.9780384
546,0.9771856
548,0.9763328
550,0.97561325
552,0.9756932
554,0.9759064
556,0.9761196
558,0.9763328
560,0.97651935
562,0.976546
564,0.976546
566,0.976546
568,0.976546
570,0.976546
572,0.976546
574,0.976546
576,0.976546
578,0.976546
580,0.976546
582,0.976546
584,0.976546
586,0.976546
588,0.976546
590,0.97662595
592,0.9771856
594,0.9778252
596,0.9784648
598,0.9791044
600,0.97966405
602,0.979744
604,0.979744
606,0.979744
608,0.979744
610,0.97982395
612,0.9803836
614,0.9810232
616,0.9816628
618,0.9823024
620,0.98286205
622,0.982942
624,0.982942
626,0.982942
628,0.982942
630,0.983021975
632,0.9835818
634,0.9842216
636,0.9848614
638,0.9855012
640,0.986061025
642,0.986141
644,0.986141
646,0.986141
648,0.986141
650,0.986141
652,0.986141
654,0.986141
656,0.986141
658,0.986141
660,0.98627425
662,0.987207
664,0.988273
666,0.989339
668,0.990405
670,0.99133775
672,0.991471
674,0.991471
676,0.991471
678,0.991471
680,0.991471
682,0.991471
684,0.991471
686,0.991471
688,0.991471
690,0.9913644
692,0.9906182
694,0.9897654
696,0.9889126
698,0.9880598
700,0.98744685
702,0.988273
704,0.989339
706,0.990405
708,0.991471
710,0.9923771
712,0.9923238
714,0.9921106
716,0.9918974
718,0.9916842
720,0.9915243
722,0.9916842
724,0.9918974
726,0.9921106
728,0.9923238
730,0.9924837
732,0.9923238
734,0.9921106
736,0.9918974
738,0.9916842
740,0.991604275
742,0.992324
744,0.993177
746,0.99403
748,0.994883
750,0.995629375
752,0.995736
754,0.995736
756,0.995736
758,0.995736
760,0.9958426
762,0.9965888
764,0.9974416
766,0.9982944
768,0.9991472
770,0.99986675
772,0.9997868
774,0.9995736
776,0.9993604
778,0.9991472
780,0.99896065
782,0.998934
784,0.998934
786,0.998934
788,0.998934
790,0.99885405
792,0.9982944
794,0.9976548
796,0.9970152
798,0.9963756
800,0.99581595
802,0.995736
804,0.995736
806,0.995736
808,0.995736
810,0.995736
812,0.995736
814,0.995736
816,0.995736
818,0.995736
820,0.995736
822,0.995736
824,0.995736
826,0.995736
828,0.995736
830,0.995736
832,0.995736
834,0.995736
836,0.995736
838,0.995736
840,0.995629375
842,0.994883
844,0.99403
846,0.993177
848,0.992324
850,0.991577625
852,0.991471
854,0.991471
856,0.991471
858,0.991471
860,0.991577625
862,0.992324
864,0.993177
866,0.99403
868,0.994883
870,0.995709325
872,0.9963756
874,0.9970152
876,0.9976548
878,0.9982944
880,0.99885405
882,0.998934
884,0.998934
886,0.998934
888,0.998934
890,0.99885405
892,0.9982944
894,0.9976548
896,0.9970152
898,0.9963756
900,0.995709325
902,0.994883
904,0.99403
906,0.993177
908,0.992324
910,0.991577625
912,0.991471
914,0.991471
916,0.991471
918,0.991471
920,0.99133775
922,0.990405
924,0.989339
926,0.988273
928,0.987207
930,0.986167625
932,0.985288
934,0.984435
936,0.983582
938,0.982729
940,0.982009275
942,0.9820892
944,0.9823024
946,0.9825156
948,0.9827288
950,0.9828354
952,0.9823024
954,0.9816628
956,0.9810232
958,0.9803836
960,0.979744
962,0.9791044
964,0.9784648
966,0.9778252
968,0.9771856
970,0.9765993
972,0.9763328
974,0.9761196
976,0.9759064
978,0.9756932
980,0.975373375
982,0.9744138
984,0.9733476
986,0.9722814
988,0.9712152
990,0.970122375
992,0.9688698
994,0.9675906
996,0.9663114
998,0.9650322
1000,0.963832925
1002,0.9631132
1004,0.9624734
1006,0.9618336
1008,0.9611938
1010,0.960554025
1012,0.9599144
1014,0.9592748
1016,0.9586352
1018,0.9579956
1020,0.957356
1022,0.9567164
1024,0.9560768
1026,0.9554372
1028,0.9547976
1030,0.953518325
1032,0.948401
1034,0.942644
1036,0.936887
1038,0.93113
1040,0.925586225
1042,0.9213218
1044,0.9172706
1046,0.9132194
1048,0.9091682
1050,0.90493045
1052,0.8995734
1054,0.8940298
1056,0.8884862
1058,0.8829426
1060,0.8772124
1062,0.8703626
1064,0.8633262
1066,0.8562898
1068,0.8492534
1070,0.842297
1072,0.8358206
1074,0.8294242
1076,0.8230278
1078,0.8166314
1080,0.8099951
1082,0.8019194
1084,0.7936038
1086,0.7852882
1088,0.7769726
1090,0.768470425
1092,0.7588488
1094,0.7490406
1096,0.7392324
1098,0.7294242
1100,0.7193495
1102,0.7076758
1104,0.6957356
1106,0.6837954
1108,0.6718552
1110,0.659248675
1112,0.6426442
1114,0.6253734
1116,0.6081026
1118,0.5908318
1120,0.573347775
1122,0.5545844
1124,0.5356078
1126,0.5166312
1128,0.4976546
1130,0.478331525
1132,0.4569296
1134,0.4351812
1136,0.4134328
1138,0.3916844
1140,0.370309125
1142,0.3511726
1144,0.3324092
1146,0.3136458
1148,0.2948824
1150,0.2763589
1152,0.2592748
1154,0.2424306
1156,0.2255864
1158,0.2087422
1160,0.19275085
1162,0.1818766
1164,0.1718552
1166,0.1618338
1168,0.1518124
1170,0.141178
1172,0.1268656
1174,0.1119402
1176,0.0970148
1178,0.0820894
1180,0.0682301
1182,0.0607674
1184,0.0543708
1186,0.0479742
1188,0.0415776
1190,0.03571405
1192,0.0330488
1194,0.0309166
1196,0.0287844
1198,0.0266522
1200,0.024173525
