time,solar,onwind
2011-01-01 00:00:00,0.0,0.003
2011-01-01 01:00:00,0.0,0.0
2011-01-01 02:00:00,0.0,0.0
2011-01-01 03:00:00,0.0,0.001
2011-01-01 04:00:00,0.0,0.001
2011-01-01 05:00:00,0.0,0.0
2011-01-01 06:00:00,0.0,0.001
2011-01-01 07:00:00,0.0,0.001
2011-01-01 08:00:00,0.0,0.002
2011-01-01 09:00:00,0.039,0.0
2011-01-01 10:00:00,0.1,0.0
2011-01-01 11:00:00,0.141,0.0
2011-01-01 12:00:00,0.103,0.0
2011-01-01 13:00:00,0.108,0.0
2011-01-01 14:00:00,0.11,0.0
2011-01-01 15:00:00,0.103,0.0
2011-01-01 16:00:00,0.08,0.001
2011-01-01 17:00:00,0.0,0.027
2011-01-01 18:00:00,0.0,0.036
2011-01-01 19:00:00,0.0,0.03
2011-01-01 20:00:00,0.0,0.017
2011-01-01 21:00:00,0.0,0.012
2011-01-01 22:00:00,0.0,0.013
2011-01-01 23:00:00,0.0,0.013
2011-01-02 00:00:00,0.0,0.008
2011-01-02 01:00:00,0.0,0.006
2011-01-02 02:00:00,0.0,0.006
2011-01-02 03:00:00,0.0,0.002
2011-01-02 04:00:00,0.0,0.001
2011-01-02 05:00:00,0.0,0.01
2011-01-02 06:00:00,0.0,0.024
2011-01-02 07:00:00,0.0,0.014
2011-01-02 08:00:00,0.0,0.005
2011-01-02 09:00:00,0.04,0.0
2011-01-02 10:00:00,0.103,0.0
2011-01-02 11:00:00,0.279,0.0
2011-01-02 12:00:00,0.361,0.0
2011-01-02 13:00:00,0.474,0.003
2011-01-02 14:00:00,0.42,0.016
2011-01-02 15:00:00,0.289,0.011
2011-01-02 16:00:00,0.147,0.01
2011-01-02 17:00:00,0.0,0.017
2011-01-02 18:00:00,0.0,0.036
2011-01-02 19:00:00,0.0,0.061
2011-01-02 20:00:00,0.0,0.069
2011-01-02 21:00:00,0.0,0.054
2011-01-02 22:00:00,0.0,0.019
2011-01-02 23:00:00,0.0,0.011
2011-01-03 00:00:00,0.0,0.002
2011-01-03 01:00:00,0.0,0.001
2011-01-03 02:00:00,0.0,0.001
2011-01-03 03:00:00,0.0,0.0
2011-01-03 04:00:00,0.0,0.0
2011-01-03 05:00:00,0.0,0.0
2011-01-03 06:00:00,0.0,0.0
2011-01-03 07:00:00,0.0,0.0
2011-01-03 08:00:00,0.002,0.0
2011-01-03 09:00:00,0.144,0.0
2011-01-03 10:00:00,0.359,0.0
2011-01-03 11:00:00,0.508,0.0
2011-01-03 12:00:00,0.604,0.0
2011-01-03 13:00:00,0.631,0.0
2011-01-03 14:00:00,0.584,0.0
2011-01-03 15:00:00,0.482,0.0
2011-01-03 16:00:00,0.236,0.0
2011-01-03 17:00:00,0.0,0.002
2011-01-03 18:00:00,0.0,0.032
2011-01-03 19:00:00,0.0,0.042
2011-01-03 20:00:00,0.0,0.039
2011-01-03 21:00:00,0.0,0.024
2011-01-03 22:00:00,0.0,0.012
