,n_Si_25C
nm,
250,1.664
260,1.754
270,2.087
280,2.961
290,4.386
300,5.099
310,5.118
320,5.139
330,5.209
340,5.323
350,5.524
360,6.062
370,6.96
380,6.65
390,6.058
400,5.63
410,5.345
420,5.133
430,4.962
440,4.818
450,4.697
460,4.592
470,4.502
480,4.423
490,4.355
500,4.295
510,4.241
520,4.194
530,4.151
540,4.112
550,4.077
560,4.045
570,4.015
580,3.988
590,3.963
600,3.94
610,3.918
620,3.898
630,3.879
640,3.861
650,3.844
660,3.829
670,3.814
680,3.8
690,3.787
700,3.774
710,3.763
720,3.751
730,3.741
740,3.731
750,3.721
760,3.712
770,3.703
780,3.695
790,3.687
800,3.679
810,3.672
820,3.665
830,3.658
840,3.652
850,3.645
860,3.639
870,3.634
880,3.628
890,3.623
900,3.618
910,3.613
920,3.608
930,3.604
940,3.599
950,3.595
960,3.591
970,3.587
980,3.583
990,3.579
1000,3.575
1010,3.571
1020,3.568
1030,3.565
1040,3.562
1050,3.559
1060,3.556
1070,3.553
1080,3.55
1090,3.547
1100,3.5445
1110,3.5421
1120,3.5398
1130,3.5375
1140,3.5352
1150,3.5331
1160,3.531
1170,3.5289
1180,3.5269
1190,3.525
1200,3.5231
1210,3.5213
1220,3.5195
1230,3.5178
1240,3.5161
1250,3.5144
1260,3.5128
1270,3.5112
1280,3.5097
1290,3.5082
1300,3.5067
1310,3.5053
1320,3.5039
1330,3.5026
1340,3.5012
1350,3.5
1360,3.4987
1370,3.4975
1380,3.4963
1390,3.4951
1400,3.4939
1410,3.4928
1420,3.4917
1430,3.4906
1440,3.4896
1450,3.4885
