wavelength	W/(nm·m2)
280	4.7309e-23
281	5.6895e-21
282	1.1946e-18
283	1.8452e-17
284	7.267e-16
285	8.0142e-15
286	1.3684e-13
287	2.7367e-12
288	6.2337e-11
289	5.6265e-10
290	6.0168e-09
291	3.5052e-08
292	2.683e-07
293	8.6466e-07
294	4.1744e-06
295	1.229e-05
296	4.7904e-05
297	9.679999999999999e-05
298	0.00028988
299	0.00049211
300	0.0010205
301	0.00193
302	0.0029209
303	0.0070945
304	0.0094701
305	0.016463
306	0.018577
307	0.027849
308	0.037837
309	0.040534
310	0.050939
311	0.082922
312	0.093376
313	0.10733
314	0.11969
315	0.13625
316	0.12348
317	0.17158
318	0.17594
319	0.2047
320	0.20527
321	0.25024
322	0.22203
323	0.21226
324	0.27537
325	0.27894
326	0.3812
327	0.39806
328	0.35116
329	0.42235
330	0.47139
331	0.40262
332	0.43623
333	0.42944
334	0.41497
335	0.46388
336	0.41519
337	0.3738
338	0.43411
339	0.46355
340	0.5018
341	0.47139
342	0.48934
343	0.51489
344	0.41843
345	0.45898
346	0.47778
347	0.49404
348	0.47511
349	0.46564
350	0.52798
351	0.55172
352	0.51791
353	0.5204
354	0.60498
355	0.6114000000000001
356	0.55387
357	0.45673
358	0.43006
359	0.46953
360	0.59817
361	0.52024
362	0.5342
363	0.6019099999999999
364	0.60628
365	0.62359
366	0.73532
367	0.72285
368	0.66759
369	0.69315
370	0.75507
371	0.69338
372	0.67444
373	0.61886
374	0.5564
375	0.5893
376	0.6748
377	0.71225
378	0.85595
379	0.7438900000000001
380	0.70077
381	0.76383
382	0.58678
383	0.45499
384	0.50968
385	0.67355
386	0.621
387	0.65147
388	0.6358200000000001
389	0.68543
390	0.79699
391	0.85138
392	0.79493
393	0.47975
394	0.49567
395	0.80772
396	0.7565499999999999
397	0.42619
398	0.85249
399	1.0693
400	1.1141
401	1.1603
402	1.2061
403	1.1613
404	1.1801
405	1.1511
406	1.1227
407	1.1026
408	1.1514
409	1.2299
410	1.0485
411	1.1738
412	1.2478
413	1.1971
414	1.1842
415	1.2258
416	1.2624
417	1.2312
418	1.1777
419	1.2258
420	1.1232
421	1.2757
422	1.2583
423	1.2184
424	1.2117
425	1.2488
426	1.2135
427	1.1724
428	1.1839
429	1.0963
430	0.87462
431	0.79394
432	1.3207
433	1.2288
434	1.1352
435	1.2452
436	1.3659
437	1.3943
438	1.2238
439	1.1775
440	1.3499
441	1.3313
442	1.425
443	1.4453
444	1.4084
445	1.4619
446	1.3108
447	1.4903
448	1.5081
449	1.5045
450	1.5595
451	1.6173
452	1.5482
453	1.4297
454	1.5335
455	1.5224
456	1.5724
457	1.5854
458	1.5514
459	1.5391
460	1.5291
461	1.5827
462	1.5975
463	1.6031
464	1.5544
465	1.535
466	1.5673
467	1.4973
468	1.5619
469	1.5682
470	1.5077
471	1.5331
472	1.6126
473	1.5499
474	1.5671
475	1.6185
476	1.5631
477	1.5724
478	1.623
479	1.5916
480	1.6181
481	1.6177
482	1.6236
483	1.6038
484	1.5734
485	1.5683
486	1.2716
487	1.4241
488	1.5413
489	1.4519
490	1.6224
491	1.5595
492	1.4869
493	1.5903
494	1.5525
495	1.6485
496	1.5676
497	1.5944
498	1.5509
499	1.5507
500	1.5451
501	1.4978
502	1.4966
503	1.5653
504	1.4587
505	1.5635
506	1.6264
507	1.556
508	1.5165
509	1.5893
510	1.5481
511	1.5769
512	1.6186
513	1.5206
514	1.4885
515	1.5314
516	1.5455
517	1.2594
518	1.4403
519	1.3957
520	1.5236
521	1.5346
522	1.569
523	1.4789
524	1.5905
525	1.5781
526	1.5341
527	1.3417
528	1.5357
529	1.6071
530	1.5446
531	1.6292
532	1.5998
533	1.4286
534	1.5302
535	1.5535
536	1.6199
537	1.4989
538	1.5738
539	1.5352
540	1.4825
541	1.4251
542	1.5511
543	1.5256
544	1.5792
545	1.5435
546	1.5291
547	1.549
548	1.5049
549	1.552
550	1.5399
551	1.5382
552	1.5697
553	1.525
554	1.5549
555	1.5634
556	1.5366
557	1.4988
558	1.531
559	1.4483
560	1.474
561	1.5595
562	1.4847
563	1.5408
564	1.5106
565	1.5201
566	1.4374
567	1.532
568	1.518
569	1.4807
570	1.4816
571	1.4331
572	1.5134
573	1.5198
574	1.5119
575	1.4777
576	1.4654
577	1.5023
578	1.456
579	1.477
580	1.502
581	1.5089
582	1.532
583	1.5479
584	1.5448
585	1.5324
586	1.4953
587	1.5281
588	1.4934
589	1.2894
590	1.3709
591	1.4662
592	1.4354
593	1.4561
594	1.4491
595	1.4308
596	1.4745
597	1.4788
598	1.4607
599	1.4606
600	1.4753
601	1.4579
602	1.436
603	1.4664
604	1.4921
605	1.4895
606	1.4822
607	1.4911
608	1.4862
609	1.4749
610	1.4686
611	1.4611
612	1.4831
613	1.4621
614	1.4176
615	1.4697
616	1.431
617	1.4128
618	1.4664
619	1.4733
620	1.4739
621	1.4802
622	1.4269
623	1.4165
624	1.4118
625	1.4026
626	1.4012
627	1.4417
628	1.3631
629	1.4114
630	1.3924
631	1.4161
632	1.3638
633	1.4508
634	1.4284
635	1.4458
636	1.4128
637	1.461
638	1.4707
639	1.4646
640	1.434
641	1.4348
642	1.4376
643	1.4525
644	1.4462
645	1.4567
646	1.415
647	1.4086
648	1.3952
649	1.3519
650	1.3594
651	1.4447
652	1.3871
653	1.4311
654	1.4153
655	1.3499
656	1.1851
657	1.2393
658	1.3855
659	1.3905
660	1.3992
661	1.3933
662	1.3819
663	1.3844
664	1.3967
665	1.4214
666	1.4203
667	1.4102
668	1.415
669	1.4394
670	1.4196
671	1.4169
672	1.3972
673	1.4094
674	1.4074
675	1.3958
676	1.412
677	1.3991
678	1.4066
679	1.3947
680	1.3969
681	1.3915
682	1.3981
683	1.383
684	1.3739
685	1.3748
686	1.3438
687	0.96824
688	1.1206
689	1.1278
690	1.1821
691	1.2333
692	1.2689
693	1.2609
694	1.2464
695	1.2714
696	1.2684
697	1.3403
698	1.3192
699	1.2918
700	1.2823
701	1.2659
702	1.2674
703	1.2747
704	1.3078
705	1.3214
706	1.3144
707	1.309
708	1.3048
709	1.3095
710	1.3175
711	1.3155
712	1.3071
713	1.2918
714	1.3029
715	1.2587
716	1.2716
717	1.1071
718	1.0296
719	0.92318
720	0.9855
721	1.0861
722	1.2407
723	1.1444
724	1.0555
725	1.038
726	1.0813
727	1.085
728	1.04
729	1.0466
730	1.1285
731	1.0703
732	1.1534
733	1.1962
734	1.2357
735	1.2178
736	1.2059
737	1.2039
738	1.2269
739	1.1905
740	1.2195
741	1.2148
742	1.2153
743	1.2405
744	1.2503
745	1.2497
746	1.247
747	1.2477
748	1.2401
749	1.2357
750	1.2341
751	1.2286
752	1.233
753	1.2266
754	1.242
755	1.2383
756	1.2232
757	1.2221
758	1.2295
759	1.1945
760	0.26604
761	0.15396
762	0.68766
763	0.37952
764	0.53878
765	0.68601
766	0.8146099999999999
767	0.97417
768	1.1138
769	1.1278
770	1.1608
771	1.1686
772	1.1778
773	1.1771
774	1.1771
775	1.1771
776	1.1798
777	1.1727
778	1.1713
779	1.1765
780	1.1636
781	1.1607
782	1.1662
783	1.1614
784	1.1536
785	1.1586
786	1.1592
787	1.145
788	1.1305
789	1.1257
790	1.091
791	1.1058
792	1.0953
793	1.0875
794	1.0972
