V (V),I (A)
-0.3,0.2269226
-0.2555,0.2265724
-0.211,0.2262541
-0.1665,0.2257767
-0.1219,0.2258722
-0.07742,0.225522
-0.0329,0.225522
0.01161,0.2254902
0.0446,0.2255539
0.05613,0.2252355
0.1006,0.2252355
0.1452,0.2251719
0.1897,0.2250764
0.2342,0.2251082
0.2787,0.2249491
0.3232,0.2250764
0.3677,0.2248217
0.4123,0.2247263
0.4568,0.2246944
0.5013,0.2246944
0.5458,0.2245671
0.5903,0.2243443
0.6348,0.2238668
0.6794,0.2228482
0.7239,0.2205882
0.7586,0.2174051
0.7684,0.2160682
0.8004,0.2092246
0.8129,0.2053731
0.8246,0.2010759
0.8406,0.1928953
0.8533,0.1847466
0.8574,0.1815635
0.8634,0.1765661
0.8719,0.1683855
0.8792,0.1602368
0.8855,0.1520563
0.8911,0.1439076
0.8963,0.135727
0.9009,0.1275783
0.9019,0.1257003
0.9052,0.1193978
0.9091,0.1112172
0.9127,0.1030685
0.9161,0.094888
0.9192,0.0867392
0.9221,0.0785587
0.9249,0.0703782
0.9274,0.0622294
0.9299,0.0540489
0.9323,0.0459002
0.9345,0.0377196
0.9366,0.0295582
0.9386,0.0213904
0.9406,0.0132226
0.9424,0.0050547
0.9442,-0.0031112
0.9459,-0.0112777
0.9464,-0.0137828
0.991,-0.3183091
