nm,QE
325.42,0.050389
325.68,0.052806
325.95,0.055316
326.21,0.057733
326.48,0.060244
326.74,0.062661
327.01,0.065171
327.28,0.067681
327.54,0.070098
327.81,0.072608
328.07,0.075026
328.34,0.077536
328.6,0.079953
328.87,0.082463
329.14,0.084973
329.4,0.08739
329.67,0.089901
329.93,0.092318
330.2,0.094828
330.46,0.097245
330.73,0.099755
331,0.10227
331.26,0.10468
331.53,0.10719
331.79,0.10961
332.06,0.11212
332.32,0.11454
332.59,0.11705
332.86,0.11956
333.12,0.12197
333.39,0.12448
333.65,0.1269
333.92,0.12941
334.18,0.13183
334.45,0.13434
334.71,0.13676
334.98,0.13927
335.24,0.14168
335.51,0.14419
335.78,0.1467
336.04,0.14912
336.31,0.15163
336.57,0.15405
336.84,0.15656
337.1,0.15898
337.37,0.16149
337.63,0.1639
337.9,0.16641
338.17,0.16892
338.43,0.17134
338.7,0.17385
338.96,0.17627
339.23,0.17878
339.49,0.1812
339.76,0.18371
340.02,0.18612
340.29,0.18863
340.55,0.19105
340.82,0.19356
341.08,0.19598
341.35,0.19849
341.62,0.201
341.88,0.20342
342.15,0.20593
342.41,0.20834
342.68,0.21085
342.94,0.21327
343.21,0.21578
343.47,0.2182
343.74,0.22071
344,0.22312
344.27,0.22563
344.53,0.22805
344.8,0.23056
345.06,0.23298
345.33,0.23549
345.59,0.23791
345.86,0.24042
346.12,0.24283
346.39,0.24534
346.65,0.24776
346.92,0.25027
347.19,0.25278
347.45,0.2552
347.72,0.25771
347.98,0.26013
348.25,0.26264
348.51,0.26505
348.78,0.26756
349.04,0.26998
349.31,0.27241
349.57,0.27476
349.84,0.27719
350.1,0.27953
350.37,0.28197
350.63,0.28431
350.9,0.28674
351.16,0.28908
351.43,0.29152
351.69,0.29386
351.96,0.29629
352.22,0.29864
352.49,0.30107
352.75,0.30341
353.02,0.30584
353.28,0.30819
353.55,0.31062
353.81,0.31296
354.08,0.31539
354.34,0.31774
354.61,0.32017
354.87,0.32251
355.14,0.32495
355.4,0.32729
355.67,0.32972
355.93,0.33206
356.2,0.3345
356.46,0.33684
356.73,0.33927
356.99,0.34162
357.26,0.34405
357.52,0.34639
357.79,0.34882
358.05,0.35117
358.32,0.3536
358.58,0.35594
358.84,0.35829
359.11,0.36072
359.37,0.36306
359.64,0.36549
359.9,0.36855
360.17,0.37247
360.43,0.37624
360.7,0.38015
360.96,0.38392
361.23,0.38784
361.49,0.39161
361.76,0.39552
362.02,0.39929
362.29,0.40321
362.55,0.40698
362.82,0.41089
363.08,0.41466
363.35,0.41858
363.61,0.42235
363.87,0.42612
364.14,0.43003
364.4,0.4338
364.67,0.43772
364.93,0.44149
365.2,0.4454
365.46,0.44917
365.73,0.45309
365.99,0.45686
366.26,0.46077
366.52,0.46454
366.79,0.46846
367.05,0.47223
367.31,0.476
367.58,0.47991
367.84,0.48368
368.11,0.4876
368.37,0.49137
368.64,0.49528
368.9,0.49905
369.17,0.50152
369.43,0.50346
369.7,0.50548
369.96,0.50742
370.22,0.50935
370.49,0.51137
370.75,0.51331
371.02,0.51532
371.28,0.51726
371.55,0.51927
371.81,0.52121
372.08,0.52323
372.34,0.52516
372.6,0.5271
372.87,0.52912
373.13,0.53106
373.4,0.53307
373.66,0.53501
373.93,0.53702
374.19,0.53896
374.46,0.54097
374.72,0.54291
374.98,0.54485
375.25,0.54686
375.51,0.5488
375.78,0.55082
376.04,0.55276
376.31,0.55477
