wavelength (nm),W halogen lamp (W*m-2*nm-1)
300,0.000001
301,0.00001
302,0.0001
303,0.0002
304,0.0003
305,0.0004
306,0.0005
307,0.0006
308,0.0007
309,0.0008
310,0.0009
311,0.001
312,0.002
313,0.003
314,0.004
315,0.005
316,0.006
317,0.007
318,0.008
319,0.009
320,0.01
321,0.011
322,0.012
323,0.013
324,0.014
325,0.015
326,0.016
327,0.017
328,0.018
329,0.019
330,0.02
331,0.021
332,0.022
333,0.023
334,0.024
335,0.025
336,0.026
337,0.027
338,0.028
339,0.029
340,0.03
341,0.031
342,0.032
343,0.033
344,0.034
345,0.035
346,0.036
347,0.037
348,0.038
349,0.039
350,0.039745458
351,0.040584128
352,0.041767812
353,0.043464021
354,0.044091949
355,0.046516263
356,0.048212208
357,0.049165783
358,0.049716923
359,0.051345477
360,0.052848252
361,0.053954513
362,0.055755645
363,0.055452961
364,0.057916577
365,0.059815627
366,0.0599989
367,0.061237589
368,0.062613679
369,0.064781832
370,0.06619316
371,0.069668018
372,0.07087069
373,0.073474854
374,0.075231864
375,0.0749087
376,0.075447701
377,0.076654588
378,0.078350876
379,0.080196644
380,0.082558808
381,0.083113513
382,0.086707324
383,0.087883953
384,0.091181934
385,0.093314915
386,0.094079505
387,0.094687527
388,0.0949926
389,0.096468203
390,0.100535034
391,0.10171786
392,0.103629974
393,0.10185545
394,0.104076739
395,0.107342785
396,0.109954924
397,0.110721341
398,0.107565776
399,0.107633341
400,0.109316581
401,0.112541256
402,0.11337329
403,0.116249296
404,0.118853862
405,0.11988155
406,0.122280907
407,0.124369091
408,0.125311602
409,0.129688082
410,0.130378721
411,0.132075384
412,0.134822293
413,0.137320788
414,0.138022254
415,0.141642885
416,0.142911125
417,0.145998642
418,0.148570453
419,0.151304008
420,0.152206743
421,0.155141507
422,0.156197584
423,0.159719375
424,0.161112973
425,0.163706609
426,0.167733647
427,0.169833752
428,0.17192175
429,0.174126294
430,0.178076209
431,0.179368745
432,0.18164518
433,0.184586765
434,0.186824027
435,0.189292393
436,0.191568357
437,0.1965031
438,0.197472866
439,0.200219708
440,0.202483642
441,0.206463463
442,0.208217781
443,0.210347202
444,0.214384055
445,0.214948461
446,0.218257573
447,0.222922369
448,0.221119155
449,0.227008321
450,0.230233784
451,0.23149877
452,0.234954153
453,0.237298562
454,0.240423265
455,0.244084842
456,0.245482874
457,0.249518854
458,0.251556761
459,0.256149695
460,0.256644386
461,0.263468282
462,0.262594801
463,0.265791749
464,0.269810614
465,0.272573809
466,0.273936394
467,0.280480196
468,0.279054524
469,0.286607333
470,0.286174587
471,0.29266499
472,0.293698299
473,0.296288991
474,0.298719716
475,0.302719128
476,0.306100977
477,0.309846874
478,0.31006783
479,0.316038639
480,0.316425032
481,0.320103046
482,0.323284936
483,0.326181832
484,0.328721389
485,0.332028223
486,0.334794111
487,0.338359655
488,0.340668161
489,0.342389688
490,0.346542499
491,0.34917343
492,0.351223222
493,0.355900717
494,0.358402567
495,0.360820168
496,0.363686188
497,0.36621001
498,0.369077598
499,0.371866791
500,0.37483941
501,0.378909879
502,0.381599643
503,0.383447601
504,0.387007488
505,0.390565346
506,0.393330682
507,0.39616563
508,0.398941452
509,0.40300362
510,0.404331284
511,0.408489243
512,0.410996229
513,0.414451976
514,0.417386117
515,0.419404874
516,0.4230604
517,0.425207763
518,0.428719158
519,0.432236048
520,0.434696077
521,0.437667748
522,0.440078368
523,0.443617357
524,0.446051862
525,0.449855394
526,0.451770081
527,0.456368813
528,0.459033584
529,0.461656932
530,0.463539263
531,0.467061996
532,0.470257602
533,0.473184446
534,0.476950175
535,0.479482628
536,0.481712059
537,0.484838716
538,0.488383796
539,0.490758189
540,0.494804626
541,0.496429047
542,0.49961274
543,0.503361548
544,0.506101087
545,0.509964313
546,0.51279986
547,0.515543438
548,0.517009309
549,0.52068618
550,0.522762729
551,0.527228387
552,0.529179933
553,0.532473072
554,0.535877281
555,0.537373523
556,0.540860113
557,0.543853116
558,0.54704911
559,0.55084816
560,0.551523832
561,0.555889641
562,0.559207768
563,0.561293625
564,0.563728611
565,0.568065116
566,0.570660999
567,0.573122364
568,0.574355005
569,0.578020981
570,0.582783008
571,0.584111421
572,0.585856075
573,0.590361542
574,0.592908637
575,0.594750685
576,0.598299151
577,0.60106965
578,0.604198654
579,0.605500914
580,0.609752814
581,0.613433988
582,0.615384348
583,0.618232593
584,0.621371583
585,0.623908378
586,0.625979057
587,0.630244318
588,0.631806344
589,0.63307319
590,0.636342176
591,0.640423253
592,0.64316455
593,0.645025768
594,0.649118586
595,0.651500585
596,0.654410242
597,0.656455247
598,0.659278271
599,0.662487127
600,0.664637593
601,0.667320834
602,0.669386173
603,0.672578443
604,0.673629682
605,0.677906444
606,0.680689811
607,0.682468797
608,0.685159223
609,0.686451059
610,0.691052931
611,0.692806071
612,0.695242995
613,0.698030246
614,0.699245407
615,0.703796749
616,0.705012028
617,0.707935156
618,0.71002729
619,0.712388885
620,0.715942079
621,0.717739946
622,0.720430489
623,0.721735416
624,0.724660383
625,0.727155251
626,0.729227631
627,0.733852329
628,0.734571546
629,0.736869804
630,0.739100349
631,0.742511552
632,0.742485752
633,0.746588092
634,0.749631652
635,0.75196183
636,0.755096291
637,0.755311765
638,0.757638288
639,0.760894884
640,0.762357685
641,0.764547704
642,0.76711965
643,0.769639231
644,0.771485978
645,0.775102197
646,0.776023214
647,0.777414541
648,0.781709137
649,0.783523105
650,0.784940102
651,0.787767626
652,0.788272445
653,0.792084727
654,0.794409508
655,0.794191051
656,0.797014904
657,0.800708439
658,0.801583998
659,0.804384938
660,0.806026523
661,0.809340282
662,0.81076195
663,0.813019196
664,0.813510781
665,0.816102716
666,0.817911916
667,0.819187744
668,0.82238795
669,0.823252237
670,0.82649338
671,0.828694837
672,0.829311646
673,0.832444115
674,0.834014481
675,0.833786285
676,0.834924218
677,0.839276393
678,0.840711718
679,0.842334833
680,0.843670169
681,0.845983728
682,0.846647578
683,0.85018796
684,0.851805376
685,0.853384541
686,0.855929963
687,0.855543802
688,0.857737515
689,0.862472565
690,0.861048949
