wavelength (nm),Xe arc lamp (W*m-2*nm-1)
300.36966,7.93E-04
300.58005,8.16E-04
300.79044,8.37E-04
301.00082,8.58E-04
301.21124,8.76E-04
301.42169,8.93E-04
301.63214,9.08E-04
301.84262,9.21E-04
302.05313,9.33E-04
302.26361,9.44E-04
302.47415,9.53E-04
302.68469,9.60E-04
302.89523,9.66E-04
303.1058,9.72E-04
303.31641,9.77E-04
303.52701,9.81E-04
303.73764,9.83E-04
303.94827,9.86E-04
304.15894,9.89E-04
304.3696,9.92E-04
304.58029,9.97E-04
304.79102,1.00E-03
305.00174,1.01E-03
305.21246,1.02E-03
305.42322,1.03E-03
305.634,1.04E-03
305.84479,1.06E-03
306.0556,1.08E-03
306.26642,1.10E-03
306.47726,1.12E-03
306.68811,1.14E-03
306.89899,1.17E-03
307.10986,1.20E-03
307.32077,1.24E-03
307.53171,1.27E-03
307.74265,1.31E-03
307.95361,1.35E-03
308.16458,1.40E-03
308.37555,1.44E-03
308.58658,1.50E-03
308.79761,1.55E-03
309.00864,1.61E-03
309.2197,1.67E-03
309.43076,1.75E-03
309.64185,1.84E-03
309.85297,1.94E-03
310.06409,2.06E-03
310.27521,2.19E-03
310.48636,2.33E-03
310.69754,2.46E-03
310.90872,2.59E-03
311.11993,2.71E-03
311.33115,2.82E-03
311.54239,2.92E-03
311.75366,3.01E-03
311.96494,3.11E-03
312.17621,3.20E-03
312.38751,3.29E-03
312.59885,3.39E-03
312.81018,3.48E-03
313.02151,3.57E-03
313.23288,3.65E-03
313.44427,3.73E-03
313.65567,3.80E-03
313.8671,3.86E-03
314.07855,3.91E-03
314.29001,3.93E-03
314.50146,3.94E-03
314.71295,3.94E-03
314.92444,3.94E-03
315.13596,3.94E-03
315.3475,3.95E-03
315.55905,3.97E-03
315.77063,0.004
315.98221,0.00404
316.19382,0.00404
316.40543,0.00408
316.61707,0.00408
316.8287,0.00408
317.04037,0.00412
317.25208,0.00412
317.46378,0.00412
317.67548,0.00408
317.88721,4.08E-03
318.09897,4.08E-03
318.31073,4.08E-03
318.52252,4.04E-03
318.73431,4.04E-03
318.94611,4.00E-03
319.15796,3.99E-03
319.36981,3.98E-03
319.58166,3.96E-03
319.79355,3.95E-03
320.00543,3.93E-03
320.21735,3.92E-03
320.42929,3.91E-03
320.64124,3.90E-03
320.85318,3.90E-03
321.06519,3.90E-03
321.27716,3.91E-03
321.48917,3.93E-03
321.7012,3.95E-03
321.91324,3.98E-03
322.12531,4.04E-03
322.33737,4.08E-03
322.54947,4.16E-03
322.7616,4.24E-03
322.97372,4.32E-03
323.18585,4.44E-03
323.39801,4.56E-03
323.6102,4.72E-03
323.82239,4.84E-03
324.03458,5.00E-03
324.24683,5.20E-03
324.45905,5.36E-03
324.67133,5.60E-03
324.88358,5.80E-03
325.09589,6.00E-03
325.30817,0.00624
