Day,Hours,Elspot Prices DK1 (EUR/MWh),Household Demand (kWh),Capacity factor solar
01/01/2019,00 - 01,28.39,0.18,0
01/01/2019,01 - 02,10.09,0.17,0
01/01/2019,02 - 03,-4.09,0.2,0
01/01/2019,03 - 04,-9.93,0.17,0
01/01/2019,04 - 05,-7.43,0.18,0
01/01/2019,05 - 06,-12.58,0.17,0
01/01/2019,06 - 07,-17.29,0.19,0
01/01/2019,07 - 08,-15.11,0.17,0
01/01/2019,08 - 09,-4.94,0.17,0
01/01/2019,09 - 10,-6.34,0.18,0.016
01/01/2019,10 - 11,-4.94,0.17,0.015
01/01/2019,11 - 12,0.45,0.2,0.059
01/01/2019,12 - 13,0.12,0.17,0.022
01/01/2019,13 - 14,-0.02,0.19,0.022
01/01/2019,14 - 15,0,0.28,0.009
01/01/2019,15 - 16,-0.03,0.19,0
01/01/2019,16 - 17,1.97,0.33,0
01/01/2019,17 - 18,9.08,0.53,0
01/01/2019,18 - 19,0.07,0.45,0
01/01/2019,19 - 20,-4.98,0.57,0
01/01/2019,20 - 21,-7,0.52,0
01/01/2019,21 - 22,-16.05,0.69,0
01/01/2019,22 - 23,-4.88,0.49,0
01/01/2019,23 - 00,-29,0.32,0
02/01/2019,00 - 01,-33.64,0.19,0
02/01/2019,01 - 02,-46.02,0.19,0
02/01/2019,02 - 03,-48.4,0.2,0
02/01/2019,03 - 04,-33.68,0.21,0
02/01/2019,04 - 05,-33.61,0.19,0
02/01/2019,05 - 06,-17.83,0.2,0
02/01/2019,06 - 07,-0.01,0.19,0
02/01/2019,07 - 08,37.51,0.2,0
02/01/2019,08 - 09,48.17,0.53,0
02/01/2019,09 - 10,50.85,0.49,0.069
02/01/2019,10 - 11,48.22,0.57,0
02/01/2019,11 - 12,48.77,1.1,0
02/01/2019,12 - 13,50.05,0.34,0
02/01/2019,13 - 14,47.37,0.98,0
02/01/2019,14 - 15,49.75,1.1,0
02/01/2019,15 - 16,53.79,0.44,0
02/01/2019,16 - 17,56.13,0.64,0
02/01/2019,17 - 18,57.08,1.35,0
02/01/2019,18 - 19,55.51,1.66,0
02/01/2019,19 - 20,55.02,1.07,0
02/01/2019,20 - 21,53.98,0.6,0
02/01/2019,21 - 22,52.83,0.99,0
02/01/2019,22 - 23,52.21,0.52,0
02/01/2019,23 - 00,50.87,0.31,0
03/01/2019,00 - 01,43,0.15,0
03/01/2019,01 - 02,45.31,0.15,0
03/01/2019,02 - 03,48.41,0.15,0
03/01/2019,03 - 04,48.5,0.14,0
03/01/2019,04 - 05,48.89,0.14,0
03/01/2019,05 - 06,46.02,0.14,0
03/01/2019,06 - 07,51.18,0.15,0
03/01/2019,07 - 08,52.88,0.14,0
03/01/2019,08 - 09,63.02,0.13,0
03/01/2019,09 - 10,60.16,0.61,0
03/01/2019,10 - 11,58.31,1.11,0
03/01/2019,11 - 12,61.6,0.58,0
03/01/2019,12 - 13,62.13,0.32,0
03/01/2019,13 - 14,63.25,0.25,0
03/01/2019,14 - 15,63.8,0.13,0
03/01/2019,15 - 16,66.27,0.14,0
03/01/2019,16 - 17,68.55,0.16,0
03/01/2019,17 - 18,69.7,0.43,0
03/01/2019,18 - 19,65.81,1.22,0
03/01/2019,19 - 20,61.64,0.45,0
03/01/2019,20 - 21,56.16,0.42,0
03/01/2019,21 - 22,54.55,0.42,0
03/01/2019,22 - 23,52.2,0.5,0
03/01/2019,23 - 00,50.08,0.41,0
04/01/2019,00 - 01,49.98,0.19,0
04/01/2019,01 - 02,47.22,0.15,0
04/01/2019,02 - 03,47.18,0.15,0
04/01/2019,03 - 04,47.05,0.15,0
04/01/2019,04 - 05,47.11,0.15,0
04/01/2019,05 - 06,47.02,0.14,0
04/01/2019,06 - 07,49.7,0.15,0
04/01/2019,07 - 08,55.4,0.17,0
04/01/2019,08 - 09,54.57,0.59,0
04/01/2019,09 - 10,54.3,0.5,0.034
04/01/2019,10 - 11,54.02,0.18,0.024
04/01/2019,11 - 12,53.13,0.16,0.002
04/01/2019,12 - 13,51.86,0.33,0
04/01/2019,13 - 14,51.72,0.21,0
04/01/2019,14 - 15,51.53,0.16,0
04/01/2019,15 - 16,51.81,0.14,0
04/01/2019,16 - 17,52.71,0.12,0
04/01/2019,17 - 18,53.46,0.13,0
04/01/2019,18 - 19,52.93,1.61,0
04/01/2019,19 - 20,52.01,0.58,0
04/01/2019,20 - 21,46.69,0.78,0
04/01/2019,21 - 22,45.53,0.87,0
04/01/2019,22 - 23,44.06,0.63,0
04/01/2019,23 - 00,31.48,0.15,0
05/01/2019,00 - 01,26.96,0.12,0
05/01/2019,01 - 02,25.18,0.11,0
05/01/2019,02 - 03,24.18,0.12,0
05/01/2019,03 - 04,22.09,0.11,0
05/01/2019,04 - 05,18.41,0.1,0
05/01/2019,05 - 06,22.14,0.12,0
05/01/2019,06 - 07,23.41,0.11,0
05/01/2019,07 - 08,47.15,0.12,0
05/01/2019,08 - 09,50.11,0.4,0
05/01/2019,09 - 10,50.85,0.43,0
05/01/2019,10 - 11,51.05,0.69,0
05/01/2019,11 - 12,51.14,1.41,0
05/01/2019,12 - 13,51.48,0.34,0
05/01/2019,13 - 14,51.86,1.24,0.016
05/01/2019,14 - 15,52.04,0.63,0
05/01/2019,15 - 16,53.35,0.26,0
05/01/2019,16 - 17,55.39,0.31,0
05/01/2019,17 - 18,56,0.47,0
05/01/2019,18 - 19,55.39,2.22,0
05/01/2019,19 - 20,53.93,0.53,0
05/01/2019,20 - 21,52.88,0.92,0
05/01/2019,21 - 22,52.02,0.56,0
05/01/2019,22 - 23,51.5,0.9,0
05/01/2019,23 - 00,50.08,0.12,0
06/01/2019,00 - 01,50.41,0.11,0
06/01/2019,01 - 02,47.83,0.12,0
06/01/2019,02 - 03,48.92,0.11,0
06/01/2019,03 - 04,48.77,0.11,0
06/01/2019,04 - 05,47.93,0.1,0
06/01/2019,05 - 06,48.83,0.11,0
06/01/2019,06 - 07,48.3,0.11,0
06/01/2019,07 - 08,49.22,0.09,0
06/01/2019,08 - 09,50.56,0.26,0
06/01/2019,09 - 10,53.52,1.73,0
06/01/2019,10 - 11,52.47,0.5,0.059
06/01/2019,11 - 12,52.89,0.35,0
06/01/2019,12 - 13,52.98,0.38,0
06/01/2019,13 - 14,52.56,0.49,0
06/01/2019,14 - 15,51.64,0.43,0
