utc_time;AUT;BEL;BGR;HRV;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;NLD;NOR;POL;PRT;ROU;SVK;SVN;ESP;SWE;CHE;GBR;CYP;MLT
2015-01-01T00:00:00Z;0.043153;0.090413;0.828714;0.493474;0.084858;0.432681;0.144497;0.296954;0.108087;0.230111;0.867524;0.073197;0.542750;0.673577;0.311438;0.418234;0.018248;0.342987;0.328029;0.375630;0.175289;0.235980;0.014441;0.244623;0.159848;0.509712;0.141249;0.562263;0.103219;0.795754
2015-01-01T01:00:00Z;0.039458;0.120062;0.812906;0.510666;0.074815;0.438094;0.150611;0.297311;0.113978;0.234612;0.863085;0.065144;0.492506;0.663223;0.368269;0.410041;0.013365;0.365300;0.332827;0.371679;0.184917;0.216620;0.012780;0.208078;0.148486;0.510068;0.090991;0.566430;0.122332;0.799263
2015-01-01T02:00:00Z;0.042602;0.155221;0.794139;0.556663;0.066367;0.450099;0.178377;0.295828;0.124682;0.239029;0.864634;0.069115;0.506837;0.653417;0.399550;0.460140;0.025078;0.396984;0.340410;0.373524;0.181997;0.189834;0.015780;0.197066;0.138274;0.511977;0.060573;0.548688;0.160664;0.899825
2015-01-01T03:00:00Z;0.038190;0.163811;0.763199;0.544431;0.063710;0.516168;0.203024;0.280922;0.121521;0.249804;0.863318;0.060902;0.602167;0.640915;0.350088;0.429413;0.039279;0.410451;0.337530;0.390491;0.185280;0.187649;0.009445;0.188732;0.122596;0.523566;0.048304;0.527438;0.151307;0.884636
2015-01-01T04:00:00Z;0.036800;0.164000;0.730102;0.547231;0.058880;0.559134;0.224801;0.255046;0.118750;0.259333;0.851967;0.052195;0.699338;0.608496;0.329937;0.419153;0.047644;0.421345;0.336329;0.405338;0.189308;0.178502;0.006716;0.181766;0.108554;0.538595;0.040723;0.510146;0.165084;0.696484
2015-01-01T05:00:00Z;0.036494;0.164720;0.671725;0.554309;0.056336;0.579120;0.241798;0.246270;0.114516;0.265785;0.835794;0.044156;0.804100;0.565564;0.339420;0.419357;0.045914;0.436554;0.334491;0.416309;0.192280;0.168676;0.005327;0.172736;0.094130;0.557011;0.046026;0.503327;0.168760;0.435127
2015-01-01T06:00:00Z;0.041755;0.231248;0.603454;0.574722;0.057193;0.624607;0.262676;0.251704;0.141140;0.280464;0.812440;0.067317;0.879123;0.570791;0.489254;0.552327;0.051629;0.374288;0.317117;0.410350;0.184303;0.157671;0.007211;0.181766;0.096618;0.546836;0.059738;0.477244;0.082884;0.954615
2015-01-01T07:00:00Z;0.039835;0.296687;0.556361;0.563747;0.057892;0.661261;0.275948;0.269716;0.148977;0.294170;0.803288;0.059044;0.916677;0.567535;0.483112;0.566644;0.079847;0.463606;0.287719;0.433146;0.199916;0.159980;0.005931;0.159731;0.092861;0.559846;0.055055;0.518385;0.253123;1.000000
2015-01-01T08:00:00Z;0.046406;0.337521;0.570412;0.501954;0.059937;0.685693;0.292765;0.254768;0.167998;0.310406;0.797956;0.050528;0.926989;0.582584;0.456776;0.596340;0.140067;0.501305;0.267716;0.452762;0.204708;0.186891;0.005327;0.131911;0.090530;0.586259;0.051913;0.557007;0.476662;1.000000
2015-01-01T09:00:00Z;0.074677;0.352578;0.606328;0.467301;0.074449;0.661258;0.330817;0.230894;0.187484;0.328162;0.773758;0.042393;0.917699;0.594072;0.502933;0.619286;0.111552;0.530349;0.334053;0.471244;0.169695;0.224469;0.010415;0.104389;0.084586;0.600475;0.045372;0.577954;0.582634;1.000000
