,GHI (W.m-2),DHI (W.m-2),Ambient Temperature (Deg C),Relative Humidity (%),wind velocity (m.s-1),wind direction (deg)
2024-01-01 00:00:00+00:00,3.29,2.187,5.428,95.4,2.4090000000000003,120.8
2024-01-01 00:05:00+00:00,3.201,2.013,5.425,95.4,2.951,123.8
2024-01-01 00:10:00+00:00,3.3080000000000003,2.2030000000000003,5.456,95.5,2.648,124.9
2024-01-01 00:15:00+00:00,3.01,1.796,5.47,95.5,2.7230000000000003,122.0
2024-01-01 00:20:00+00:00,3.4789999999999996,2.37,5.4910000000000005,95.4,2.478,125.5
2024-01-01 00:25:00+00:00,3.891,2.525,5.483,95.6,2.718,126.9
2024-01-01 00:30:00+00:00,2.928,1.702,5.505,95.5,2.499,131.3
2024-01-01 00:35:00+00:00,3.168,1.9609999999999999,5.502000000000001,95.5,2.6310000000000002,128.0
2024-01-01 00:40:00+00:00,3.096,1.9369999999999998,5.5360000000000005,95.4,2.68,125.5
2024-01-01 00:45:00+00:00,3.358,2.235,5.537999999999999,95.4,2.786,129.5
2024-01-01 00:50:00+00:00,3.423,2.296,5.522,95.3,2.885,125.8
2024-01-01 00:55:00+00:00,3.628,2.342,5.53,95.3,2.602,122.6
2024-01-01 01:00:00+00:00,3.657,2.48,5.537999999999999,95.2,2.6039999999999996,123.9
2024-01-01 01:05:00+00:00,3.699,2.513,5.518,95.1,2.895,134.2
2024-01-01 01:10:00+00:00,3.052,2.009,5.541,95.1,2.662,131.4
2024-01-01 01:15:00+00:00,3.625,2.3890000000000002,5.585,94.7,3.1039999999999996,129.9
2024-01-01 01:20:00+00:00,3.818,2.526,5.537999999999999,94.7,2.7439999999999998,128.6
2024-01-01 01:25:00+00:00,3.832,2.548,5.519,94.7,2.99,131.5
2024-01-01 01:30:00+00:00,3.0189999999999997,1.926,5.511,94.7,2.833,128.5
2024-01-01 01:35:00+00:00,3.3369999999999997,2.2159999999999997,5.484,94.7,2.593,129.4
2024-01-01 01:40:00+00:00,3.582,2.449,5.456,94.8,2.537,131.0
2024-01-01 01:45:00+00:00,3.512,2.353,5.455,94.7,2.737,132.7
2024-01-01 01:50:00+00:00,3.3480000000000003,2.16,5.432,94.7,2.73,131.7
2024-01-01 01:55:00+00:00,3.444,2.265,5.431,94.4,2.623,133.9
2024-01-01 02:00:00+00:00,3.682,2.544,5.395,94.6,2.702,132.6
2024-01-01 02:05:00+00:00,3.6010000000000004,2.4130000000000003,5.409,94.4,2.56,136.7
2024-01-01 02:10:00+00:00,3.995,2.784,5.347,94.5,3.23,123.1
2024-01-01 02:15:00+00:00,3.3560000000000003,2.295,5.343,94.6,2.7939999999999996,133.6
2024-01-01 02:20:00+00:00,3.765,2.316,5.346,94.3,2.997,132.8
2024-01-01 02:25:00+00:00,4.204,2.818,5.3,94.3,3.077,130.8
2024-01-01 02:30:00+00:00,4.198,2.8489999999999998,5.223,94.2,2.846,131.4
2024-01-01 02:35:00+00:00,4.056,2.7110000000000003,5.144,94.6,2.989,133.2
2024-01-01 02:40:00+00:00,4.323,2.938,5.0760000000000005,94.4,2.944,134.2
2024-01-01 02:45:00+00:00,3.549,2.343,5.006,94.5,2.9139999999999997,130.6
2024-01-01 02:50:00+00:00,3.8560000000000003,2.675,4.961,94.5,2.984,133.0
2024-01-01 02:55:00+00:00,4.095,2.755,4.905,94.7,3.263,133.9
2024-01-01 03:00:00+00:00,3.045,2.057,4.879,94.9,3.0260000000000002,134.3
2024-01-01 03:05:00+00:00,2.332,1.446,4.913,94.8,2.821,135.5
2024-01-01 03:10:00+00:00,2.7119999999999997,1.6909999999999998,4.946000000000001,94.9,3.174,137.6
2024-01-01 03:15:00+00:00,2.5610000000000004,1.651,4.974,94.9,3.2,136.5
2024-01-01 03:20:00+00:00,3.0460000000000003,1.896,4.96,95.0,2.81,134.8
2024-01-01 03:25:00+00:00,3.092,1.871,4.973,95.0,2.928,139.1
2024-01-01 03:30:00+00:00,2.905,1.854,4.967,94.9,2.915,135.3
2024-01-01 03:35:00+00:00,3.3369999999999997,2.319,4.9510000000000005,94.9,2.775,133.6
2024-01-01 03:40:00+00:00,3.7060000000000004,2.499,4.9,95.0,2.72,137.8
2024-01-01 03:45:00+00:00,3.593,2.502,4.9030000000000005,95.1,2.6310000000000002,139.3
2024-01-01 03:50:00+00:00,3.383,2.2840000000000003,4.931,95.0,2.714,139.1
2024-01-01 03:55:00+00:00,3.065,2.077,4.936,95.0,2.798,136.1
2024-01-01 04:00:00+00:00,3.449,2.2430000000000003,4.948,94.9,2.7030000000000003,137.2
2024-01-01 04:05:00+00:00,3.3739999999999997,2.1109999999999998,4.952,94.9,2.735,139.2
2024-01-01 04:10:00+00:00,3.187,2.029,4.981,94.9,2.437,138.1
2024-01-01 04:15:00+00:00,3.465,2.324,4.973,94.9,2.697,138.2
2024-01-01 04:20:00+00:00,3.883,2.456,4.959,94.9,2.801,135.6
2024-01-01 04:25:00+00:00,3.4589999999999996,2.29,4.944,94.9,2.541,136.0
2024-01-01 04:30:00+00:00,3.403,2.197,4.933,95.0,2.6060000000000003,132.9
2024-01-01 04:35:00+00:00,3.573,2.352,4.93,95.1,2.861,131.4
2024-01-01 04:40:00+00:00,3.523,2.385,4.941,95.1,2.432,133.6
2024-01-01 04:45:00+00:00,3.202,2.048,4.944,95.2,2.698,133.4
2024-01-01 04:50:00+00:00,3.5469999999999997,2.376,4.954,95.2,2.535,133.2
2024-01-01 04:55:00+00:00,3.2060000000000004,2.0709999999999997,4.952,95.1,2.639,129.4
2024-01-01 05:00:00+00:00,3.58,2.401,4.9319999999999995,95.1,2.467,126.6
2024-01-01 05:05:00+00:00,3.0789999999999997,1.86,4.923,95.1,2.086,121.7
2024-01-01 05:10:00+00:00,3.513,2.261,4.923,95.2,2.299,124.3
2024-01-01 05:15:00+00:00,3.47,2.279,4.904,95.2,2.2359999999999998,125.1
2024-01-01 05:20:00+00:00,3.443,2.351,4.894,95.2,2.056,118.2
2024-01-01 05:25:00+00:00,3.022,1.8659999999999999,4.902,95.4,2.441,124.9
2024-01-01 05:30:00+00:00,3.2889999999999997,2.002,4.906000000000001,95.4,2.217,125.8
2024-01-01 05:35:00+00:00,3.4960000000000004,2.2680000000000002,4.923,95.5,2.381,125.7
2024-01-01 05:40:00+00:00,3.262,1.9609999999999999,4.9319999999999995,95.5,2.045,121.3
2024-01-01 05:45:00+00:00,3.205,2.0380000000000003,4.9430000000000005,95.4,2.286,121.1
2024-01-01 05:50:00+00:00,3.469,2.305,4.938,95.5,2.524,126.2
2024-01-01 05:55:00+00:00,3.5980000000000003,2.38,4.982,95.4,2.365,121.5
2024-01-01 06:00:00+00:00,3.134,2.003,5.012,95.3,2.195,124.1
2024-01-01 06:05:00+00:00,3.093,2.013,5.0280000000000005,95.3,2.6,128.4
2024-01-01 06:10:00+00:00,3.4739999999999998,2.238,5.0680000000000005,95.3,2.7710000000000004,129.0
2024-01-01 06:15:00+00:00,3.3369999999999997,2.199,5.104,95.0,2.273,124.8
2024-01-01 06:20:00+00:00,3.266,2.231,5.106,95.0,2.15,122.1
2024-01-01 06:25:00+00:00,3.388,2.237,5.1080000000000005,95.0,2.388,123.0
2024-01-01 06:30:00+00:00,3.076,1.8230000000000002,5.135,95.0,1.983,133.6
2024-01-01 06:35:00+00:00,2.844,1.794,5.127999999999999,95.0,2.07,123.7
2024-01-01 06:40:00+00:00,3.323,2.1630000000000003,5.1339999999999995,95.1,2.136,123.7
2024-01-01 06:45:00+00:00,3.315,2.122,5.144,95.0,2.387,125.5
2024-01-01 06:50:00+00:00,3.395,2.094,5.1579999999999995,94.9,2.06,123.3
2024-01-01 06:55:00+00:00,3.115,1.9880000000000002,5.16,94.8,2.176,119.3
2024-01-01 07:00:00+00:00,3.6919999999999997,2.349,5.162999999999999,94.8,2.217,116.3
2024-01-01 07:05:00+00:00,3.694,2.523,5.1610000000000005,94.8,2.311,116.6
2024-01-01 07:10:00+00:00,3.553,2.42,5.157,94.8,2.307,117.6
2024-01-01 07:15:00+00:00,3.2739999999999996,2.128,5.155,94.7,2.309,115.3
2024-01-01 07:20:00+00:00,3.51,2.201,5.154,94.8,2.335,112.6
2024-01-01 07:25:00+00:00,3.6660000000000004,2.279,5.155,94.8,2.516,117.7
2024-01-01 07:30:00+00:00,3.735,2.548,5.149,94.9,2.441,117.3
2024-01-01 07:35:00+00:00,3.654,2.36,5.148,94.9,2.6,119.8
